perc1;perc2;succ;cost
39; 33; 6; 1.8368
13; 85; 0; 1.8862
67; 2; 0; 1.5811
26; 66; 0; 1.8048
52; 32; 0; 1.6096
1; 97; 9; 2.0062
67; 3; 0; 1.573
13; 86; 0; 1.8781
39; 34; 2; 1.8287
26; 67; 0; 1.7967
52; 33; 0; 1.6015
67; 4; 0; 1.5649
1; 98; 7; 1.9981
13; 87; 0; 1.87
67; 5; 0; 1.5568
39; 35; 5; 1.8206
52; 34; 0; 1.5934
1; 99; 1; 1.99
26; 68; 0; 1.7886
67; 6; 0; 1.5487
14; 52; 40; 2.1354
2; 76; 40; 2.1582
67; 7; 0; 1.5406
52; 35; 0; 1.5853
39; 36; 1; 1.8125
26; 69; 0; 1.7805
67; 8; 0; 1.5325
2; 77; 40; 2.1501
67; 9; 0; 1.5244
14; 53; 40; 2.1273
2; 78; 40; 2.142
67; 10; 0; 1.5163
52; 36; 0; 1.5772
26; 70; 0; 1.7724
39; 37; 0; 1.8044
67; 11; 0; 1.5082
2; 79; 40; 2.1339
14; 54; 40; 2.1192
67; 12; 0; 1.5001
52; 37; 0; 1.5691
26; 71; 0; 1.7643
2; 80; 40; 2.1258
39; 38; 0; 1.7963
67; 13; 0; 1.492
14; 55; 40; 2.1111
67; 14; 0; 1.4839
26; 72; 0; 1.7562
52; 38; 0; 1.561
2; 81; 40; 2.1177
67; 15; 0; 1.4758
39; 39; 0; 1.7882
14; 56; 40; 2.103
67; 16; 0; 1.4677
26; 73; 0; 1.7481
52; 39; 0; 1.5529
67; 17; 0; 1.4596
14; 57; 40; 2.0949
2; 82; 40; 2.1096
39; 40; 0; 1.7801
67; 18; 0; 1.4515
2; 83; 40; 2.1015
26; 74; 0; 1.74
67; 19; 0; 1.4434
52; 40; 0; 1.5448
14; 58; 40; 2.0868
67; 20; 0; 1.4353
2; 84; 40; 2.0934
39; 41; 0; 1.772
67; 21; 0; 1.4272
27; 26; 40; 2.1107
52; 41; 0; 1.5367
2; 85; 40; 2.0853
14; 59; 40; 2.0787
67; 22; 0; 1.4191
39; 42; 0; 1.7639
68; 0; 0; 1.5792
2; 86; 39; 2.0772
52; 42; 0; 1.5286
27; 27; 40; 2.1026
68; 1; 0; 1.5711
14; 60; 40; 2.0706
2; 87; 36; 2.0691
68; 2; 0; 1.563
39; 43; 0; 1.7558
52; 43; 0; 1.5205
68; 3; 0; 1.5549
27; 28; 40; 2.0945
2; 88; 38; 2.061
14; 61; 40; 2.0625
68; 4; 0; 1.5468
2; 89; 36; 2.0529
39; 44; 0; 1.7477
68; 5; 0; 1.5387
52; 44; 0; 1.5124
27; 29; 40; 2.0864
68; 6; 0; 1.5306
14; 62; 40; 2.0544
2; 90; 33; 2.0448
68; 7; 0; 1.5225
52; 45; 0; 1.5043
39; 45; 0; 1.7396
2; 91; 29; 2.0367
68; 8; 0; 1.5144
27; 30; 40; 2.0783
14; 63; 40; 2.0463
68; 9; 0; 1.5063
52; 46; 0; 1.4962
2; 92; 19; 2.0286
39; 46; 0; 1.7315
68; 10; 0; 1.4982
27; 31; 40; 2.0702
2; 93; 23; 2.0205
14; 64; 40; 2.0382
68; 11; 0; 1.4901
52; 47; 0; 1.4881
68; 12; 0; 1.482
39; 47; 0; 1.7234
2; 94; 17; 2.0124
68; 13; 0; 1.4739
27; 32; 40; 2.0621
14; 65; 40; 2.0301
52; 48; 0; 1.48
2; 95; 9; 2.0043
68; 14; 0; 1.4658
39; 48; 0; 1.7153
68; 15; 0; 1.4577
2; 96; 6; 1.9962
14; 66; 37; 2.022
27; 33; 40; 2.054
68; 16; 0; 1.4496
53; 0; 28; 1.8507
68; 17; 0; 1.4415
2; 97; 4; 1.9881
39; 49; 0; 1.7072
68; 18; 0; 1.4334
14; 67; 38; 2.0139
27; 34; 40; 2.0459
2; 98; 0; 1.98
53; 1; 27; 1.8426
68; 19; 0; 1.4253
39; 50; 0; 1.6991
69; 0; 0; 1.5611
3; 74; 40; 2.1563
