run;elementClass;classCost;percentage
0;1;1;66.8275
0;1.6;1.6;4.04101
0;2;2;6.75513
0;2.3;2.3;22.3764
0;3;3;0
0;bump;3;0
0;bumpR;0;0
# Achieved fill rate: 80.957
50;1;1;65.5609
50;1.6;1.6;2.17129
50;2;2;0
50;2.3;2.3;15.6815
50;3;3;16.5862
50;bump;3;0
50;bumpR;0;0
# Achieved fill rate: 80.957
75;1;1;71.8769
75;1.6;1.6;4.828
75;2;2;0.30175
75;2.3;2.3;0
75;3;3;22.9934
75;bump;3;0.06035
75;bumpR;0;0
# Achieved fill rate: 80.9082
25;1;1;60.193
25;1.6;1.6;29.4934
25;2;2;0
25;2.3;2.3;4.10133
25;3;3;6.2123
25;bump;3;0
25;bumpR;0;0
# Achieved fill rate: 80.957
1;1;1;60.6755
1;1.6;1.6;9.04704
1;2;2;30.2774
1;2.3;2.3;0
1;3;3;0
1;bump;3;0
1;bumpR;0;0
# Achieved fill rate: 80.957
51;1;1;63.5706
51;1.6;1.6;0
51;2;2;0
51;2.3;2.3;36.4294
51;3;3;0
51;bump;3;0
51;bumpR;0;0
# Achieved fill rate: 80.957
76;1;1;67.6719
76;1.6;1.6;4.52352
76;2;2;10.0121
76;2.3;2.3;17.7925
76;3;3;0
76;bump;3;0
76;bumpR;0;0
# Achieved fill rate: 80.957
26;1;1;55.522
26;1.6;1.6;38.7447
26;2;2;0
26;2.3;2.3;0
26;3;3;5.73325
26;bump;3;0.06035
26;bumpR;0;0
# Achieved fill rate: 80.9082
2;1;1;68.4369
2;1.6;1.6;8.38865
2;2;2;4.52625
2;2.3;2.3;7.7248
2;3;3;10.9234
2;bump;3;0.06035
2;bumpR;0;0
# Achieved fill rate: 80.9082
52;1;1;69.9638
52;1.6;1.6;1.02533
52;2;2;0
52;2.3;2.3;28.7696
52;3;3;0.241255
52;bump;3;0
52;bumpR;0;0
# Achieved fill rate: 80.957
77;1;1;69.8432
77;1.6;1.6;4.70446
77;2;2;1.50784
77;2.3;2.3;13.4499
77;3;3;10.4946
77;bump;3;0
77;bumpR;0;0
# Achieved fill rate: 80.957
3;1;1;63.5706
3;1.6;1.6;23.5826
3;2;2;0
3;2.3;2.3;12.8468
3;3;3;0
3;bump;3;0
3;bumpR;0;0
# Achieved fill rate: 80.957
27;1;1;72.0145
27;1.6;1.6;4.22195
27;2;2;17.0084
27;2.3;2.3;4.4029
27;3;3;2.35223
27;bump;3;0
27;bumpR;0;0
# Achieved fill rate: 80.957
78;1;1;65.6815
78;1.6;1.6;9.83112
78;2;2;1.20627
78;2.3;2.3;0
78;3;3;23.2811
78;bump;3;0
78;bumpR;0;0
# Achieved fill rate: 80.957
53;1;1;74.4719
53;1.6;1.6;7.18165
53;2;2;5.49185
53;2.3;2.3;0
53;3;3;12.8546
53;bump;3;0.06035
53;bumpR;0;0
# Achieved fill rate: 80.9082
28;1;1;64.2943
28;1.6;1.6;6.57419
28;2;2;29.1315
28;2.3;2.3;0
28;3;3;0
28;bump;3;0
28;bumpR;0;0
# Achieved fill rate: 80.957
54;1;1;47.2859
54;1.6;1.6;52.7141
54;2;2;0
54;2.3;2.3;0
54;3;3;0
54;bump;3;0
54;bumpR;0;0
# Achieved fill rate: 80.957
4;1;1;61.6405
4;1.6;1.6;27.0808
4;2;2;6.6345
4;2.3;2.3;0.241255
4;3;3;4.4029
4;bump;3;0
4;bumpR;0;0
# Achieved fill rate: 80.957
79;1;1;58.1423
79;1.6;1.6;8.32328
79;2;2;12.1834
79;2.3;2.3;21.351
79;3;3;0
79;bump;3;0
79;bumpR;0;0
# Achieved fill rate: 80.957
29;1;1;66.7069
29;1.6;1.6;0
29;2;2;9.16767
29;2.3;2.3;0
29;3;3;24.1255
29;bump;3;0
29;bumpR;0;0
# Achieved fill rate: 80.957
55;1;1;63.5103
55;1.6;1.6;6.93607
55;2;2;10.5549
55;2.3;2.3;18.9988
55;3;3;0
55;bump;3;0
55;bumpR;0;0
# Achieved fill rate: 80.957
80;1;1;62.123
80;1.6;1.6;0
80;2;2;37.877
80;2.3;2.3;0
80;3;3;0
80;bump;3;0
80;bumpR;0;0
# Achieved fill rate: 80.957
5;1;1;62.8468
5;1.6;1.6;28.1665
5;2;2;1.14596
5;2.3;2.3;4.76478
5;3;3;3.076
5;bump;3;0
5;bumpR;0;0
# Achieved fill rate: 80.957
30;1;1;64.1134
30;1.6;1.6;4.70446
30;2;2;18.2147
30;2.3;2.3;12.9674
30;3;3;0
30;bump;3;0
30;bumpR;0;0
# Achieved fill rate: 80.957
56;1;1;68.8782
56;1.6;1.6;6.27262
56;2;2;3.79976
56;2.3;2.3;21.0495
56;3;3;0
56;bump;3;0
56;bumpR;0;0
# Achieved fill rate: 80.957
81;1;1;67.3703
81;1.6;1.6;2.95537
81;2;2;0
81;2.3;2.3;29.6743
81;3;3;0
81;bump;3;0
81;bumpR;0;0
# Achieved fill rate: 80.957
6;1;1;66.4053
6;1.6;1.6;0.482509
6;2;2;0
6;2.3;2.3;33.1122
6;3;3;0
6;bump;3;0
6;bumpR;0;0
# Achieved fill rate: 80.957
57;1;1;70.0844
57;1.6;1.6;0.723764
57;2;2;3.25694
57;2.3;2.3;24.4873
57;3;3;1.44753
57;bump;3;0
57;bumpR;0;0
# Achieved fill rate: 80.957
82;1;1;59.5296
82;1.6;1.6;17.0084
82;2;2;0
82;2.3;2.3;11.5802
82;3;3;11.8818
82;bump;3;0
82;bumpR;0;0
# Achieved fill rate: 80.957
7;1;1;62.0024
7;1.6;1.6;0
7;2;2;14.0531
