run;elementClass;classCost;percentage
7;2.3;2.3;23.9445
7;3;3;0
7;bump;3;0
7;bumpR;0;0
# Achieved fill rate: 80.957
31;1;1;60.9535
31;1.6;1.6;24.3814
31;2;2;0
31;2.3;2.3;13.5184
31;3;3;1.14665
31;bump;3;0.06035
31;bumpR;0;0
# Achieved fill rate: 80.9082
8;1;1;60.6152
8;1.6;1.6;1.7491
8;2;2;37.6357
8;2.3;2.3;0
8;3;3;0
8;bump;3;0
8;bumpR;0;0
# Achieved fill rate: 80.957
83;1;1;66.2244
83;1.6;1.6;8.44391
83;2;2;8.98673
83;2.3;2.3;0
83;3;3;16.345
83;bump;3;0
83;bumpR;0;0
# Achieved fill rate: 80.957
58;1;1;67.0489
58;1.6;1.6;0.90525
58;2;2;0.7242
58;2.3;2.3;0
58;3;3;31.3217
58;bump;3;0.06035
58;bumpR;0;0
# Achieved fill rate: 80.9082
32;1;1;68.275
32;1.6;1.6;4.04101
32;2;2;0
32;2.3;2.3;0
32;3;3;27.684
32;bump;3;0
32;bumpR;0;0
# Achieved fill rate: 80.957
84;1;1;65.1387
84;1.6;1.6;15.3197
84;2;2;19.5416
84;2.3;2.3;0
84;3;3;0
84;bump;3;0
84;bumpR;0;0
# Achieved fill rate: 80.957
9;1;1;65.5006
9;1.6;1.6;19.7829
9;2;2;9.77081
9;2.3;2.3;0
9;3;3;4.94572
9;bump;3;0
9;bumpR;0;0
# Achieved fill rate: 80.957
33;1;1;67.6116
33;1.6;1.6;0.422195
33;2;2;0
33;2.3;2.3;31.9662
33;3;3;0
33;bump;3;0
33;bumpR;0;0
# Achieved fill rate: 80.957
59;1;1;70.7479
59;1.6;1.6;5.54885
59;2;2;11.8818
59;2.3;2.3;8.14234
59;3;3;3.67913
59;bump;3;0
59;bumpR;0;0
# Achieved fill rate: 80.957
10;1;1;64.8372
10;1.6;1.6;0
10;2;2;13.1484
10;2.3;2.3;22.0145
10;3;3;0
10;bump;3;0
10;bumpR;0;0
# Achieved fill rate: 80.957
85;1;1;67.6719
85;1.6;1.6;0
85;2;2;1.14596
85;2.3;2.3;5.85042
85;3;3;25.3317
85;bump;3;0
85;bumpR;0;0
# Achieved fill rate: 80.957
34;1;1;63.0277
34;1.6;1.6;6.81544
34;2;2;26.1761
34;2.3;2.3;3.9807
34;3;3;0
34;bump;3;0
34;bumpR;0;0
# Achieved fill rate: 80.957
60;1;1;66.0434
60;1.6;1.6;11.2183
60;2;2;11.0977
60;2.3;2.3;11.6405
60;3;3;0
60;bump;3;0
60;bumpR;0;0
# Achieved fill rate: 80.957
86;1;1;68.8179
86;1.6;1.6;0
86;2;2;31.1821
86;2.3;2.3;0
86;3;3;0
86;bump;3;0
86;bumpR;0;0
# Achieved fill rate: 80.957
11;1;1;74.3667
11;1.6;1.6;6.39324
11;2;2;0
11;2.3;2.3;1.02533
11;3;3;18.2147
11;bump;3;0
11;bumpR;0;0
# Achieved fill rate: 80.957
61;1;1;62.9071
61;1.6;1.6;23.8239
61;2;2;0.482509
61;2.3;2.3;12.7865
61;3;3;0
61;bump;3;0
61;bumpR;0;0
# Achieved fill rate: 80.957
35;1;1;57.1773
35;1.6;1.6;34.4391
35;2;2;0
35;2.3;2.3;7.78046
35;3;3;0.603136
35;bump;3;0
35;bumpR;0;0
# Achieved fill rate: 80.957
87;1;1;59.8311
87;1.6;1.6;25.6936
87;2;2;0
87;2.3;2.3;0
87;3;3;14.4753
87;bump;3;0
87;bumpR;0;0
# Achieved fill rate: 80.957
12;1;1;63.5706
12;1.6;1.6;8.56454
12;2;2;16.0434
12;2.3;2.3;11.8215
12;3;3;0
12;bump;3;0
12;bumpR;0;0
# Achieved fill rate: 80.957
62;1;1;67.1894
62;1.6;1.6;4.58384
62;2;2;25.5127
62;2.3;2.3;0
62;3;3;2.71411
62;bump;3;0
62;bumpR;0;0
# Achieved fill rate: 80.957
36;1;1;67.9735
36;1.6;1.6;8.32328
36;2;2;0
36;2.3;2.3;23.7033
36;3;3;0
36;bump;3;0
36;bumpR;0;0
# Achieved fill rate: 80.957
88;1;1;72.3764
88;1.6;1.6;0.542823
88;2;2;0.723764
88;2.3;2.3;26.3571
88;3;3;0
88;bump;3;0
88;bumpR;0;0
# Achieved fill rate: 80.957
13;1;1;68.5766
13;1.6;1.6;10.3136
13;2;2;0
13;2.3;2.3;0
13;3;3;21.1098
13;bump;3;0
13;bumpR;0;0
# Achieved fill rate: 80.957
37;1;1;66.2244
37;1.6;1.6;0.482509
37;2;2;4.70446
37;2.3;2.3;28.5887
37;3;3;0
37;bump;3;0
37;bumpR;0;0
# Achieved fill rate: 80.957
63;1;1;68.5766
63;1.6;1.6;1.44753
63;2;2;18.6972
63;2.3;2.3;0
63;3;3;11.2786
63;bump;3;0
63;bumpR;0;0
# Achieved fill rate: 80.957
89;1;1;70.1448
89;1.6;1.6;10.1327
89;2;2;0
89;2.3;2.3;13.269
89;3;3;6.45356
89;bump;3;0
89;bumpR;0;0
# Achieved fill rate: 80.957
14;1;1;73.2207
14;1.6;1.6;2.47286
14;2;2;0
14;2.3;2.3;0
14;3;3;24.3064
14;bump;3;0
14;bumpR;0;0
# Achieved fill rate: 80.957
38;1;1;68.2147
38;1.6;1.6;3.13631
38;2;2;17.31
38;2.3;2.3;11.339
38;3;3;0
38;bump;3;0
38;bumpR;0;0
# Achieved fill rate: 80.957
64;1;1;62.8468
64;1.6;1.6;19.0591
64;2;2;0.120627
64;2.3;2.3;17.9735
64;3;3;0
64;bump;3;0
64;bumpR;0;0
# Achieved fill rate: 80.957
15;1;1;66.9481
15;1.6;1.6;7.78046
15;2;2;0
15;2.3;2.3;25.2714
15;3;3;0
15;bump;3;0
15;bumpR;0;0
# Achieved fill rate: 80.957
65;1;1;68.6972
65;1.6;1.6;0.904704
65;2;2;5.54885
65;2.3;2.3;24.8492
65;3;3;0
65;bump;3;0
65;bumpR;0;0
# Achieved fill rate: 80.957
90;1;1;64.5531
90;1.6;1.6;21.6184
90;2;2;0.966184
90;2.3;2.3;0
90;3;3;12.8623
90;bump;3;0.120773
90;bumpR;0;0
# Achieved fill rate: 80.8594
39;1;1;72.3597
39;1.6;1.6;0
39;2;2;9.7767
39;2.3;2.3;6.94025
39;3;3;10.9234
39;bump;3;0.06035
39;bumpR;0;0
# Achieved fill rate: 80.9082
16;1;1;65.9626
16;1.6;1.6;15.9928
16;2;2;2.47435
16;2.3;2.3;0
16;3;3;15.5703
16;bump;3;0.06035
16;bumpR;0;0
# Achieved fill rate: 80.9082
91;1;1;66.2244
91;1.6;1.6;2.35223
91;2;2;27.8046
91;2.3;2.3;3.61882
91;3;3;0
91;bump;3;0
91;bumpR;0;0
# Achieved fill rate: 80.957
66;1;1;69.3607
66;1.6;1.6;11.5199
66;2;2;3.67913
66;2.3;2.3;0
66;3;3;15.4403
66;bump;3;0
66;bumpR;0;0
# Achieved fill rate: 80.957
40;1;1;69.24
40;1.6;1.6;2.95537
40;2;2;0
40;2.3;2.3;27.8046
40;3;3;0
40;bump;3;0
40;bumpR;0;0
# Achieved fill rate: 80.957
92;1;1;67.31
92;1.6;1.6;1.62847
92;2;2;5.24729
92;2.3;2.3;25.8142
92;3;3;0
92;bump;3;0
92;bumpR;0;0
# Achieved fill rate: 80.957
67;1;1;66.2847
67;1.6;1.6;8.14234
67;2;2;14.3546
67;2.3;2.3;11.2183
67;3;3;0
67;bump;3;0
67;bumpR;0;0
# Achieved fill rate: 80.957
17;1;1;72.9632
17;1.6;1.6;0
17;2;2;0
17;2.3;2.3;21.0622
17;3;3;5.97465
17;bump;3;0.06035
17;bumpR;0;0
# Achieved fill rate: 80.9082
41;1;1;73.6429
41;1.6;1.6;0
41;2;2;8.32328
41;2.3;2.3;2.77443
41;3;3;15.2593
41;bump;3;0
41;bumpR;0;0
# Achieved fill rate: 80.957
93;1;1;66.5259
93;1.6;1.6;0
93;2;2;0
93;2.3;2.3;33.4741
93;3;3;0
93;bump;3;0
93;bumpR;0;0
# Achieved fill rate: 80.957
68;1;1;67.3703
68;1.6;1.6;5.24729
68;2;2;1.7491
68;2.3;2.3;25.6333
68;3;3;0
68;bump;3;0
68;bumpR;0;0
# Achieved fill rate: 80.957
18;1;1;65.0181
18;1.6;1.6;6.99638
18;2;2;0
18;2.3;2.3;0
18;3;3;27.9855
18;bump;3;0
18;bumpR;0;0
# Achieved fill rate: 80.957
94;1;1;66.5862
94;1.6;1.6;6.99638
94;2;2;19.8432
94;2.3;2.3;6.57419
94;3;3;0
94;bump;3;0
94;bumpR;0;0
# Achieved fill rate: 80.957
69;1;1;67.3703
69;1.6;1.6;17.31
69;2;2;0
69;2.3;2.3;15.3197
69;3;3;0
69;bump;3;0
69;bumpR;0;0
# Achieved fill rate: 80.957
42;1;1;67.9735
42;1.6;1.6;2.35223
42;2;2;3.25694
42;2.3;2.3;10.193
42;3;3;16.2244
42;bump;3;0
42;bumpR;0;0
# Achieved fill rate: 80.957
19;1;1;69.5416
19;1.6;1.6;0
19;2;2;19.6622
19;2.3;2.3;10.7961
19;3;3;0
19;bump;3;0
19;bumpR;0;0
# Achieved fill rate: 80.957
95;1;1;63.6912
95;1.6;1.6;0
95;2;2;36.3088
95;2.3;2.3;0
95;3;3;0
95;bump;3;0
95;bumpR;0;0
# Achieved fill rate: 80.957
70;1;1;66.1641
70;1.6;1.6;8.50422
70;2;2;2.29192
70;2.3;2.3;23.0398
70;3;3;0
70;bump;3;0
70;bumpR;0;0
# Achieved fill rate: 80.957
43;1;1;67.0084
43;1.6;1.6;0.241255
43;2;2;0
43;2.3;2.3;32.7503
43;3;3;0
43;bump;3;0
43;bumpR;0;0
# Achieved fill rate: 80.957
20;1;1;71.2304
20;1.6;1.6;10.193
20;2;2;2.59349
20;2.3;2.3;2.2316
20;3;3;13.7515
20;bump;3;0
20;bumpR;0;0
# Achieved fill rate: 80.957
44;1;1;66.8878
44;1.6;1.6;4.10133
44;2;2;29.0109
44;2.3;2.3;0
44;3;3;0
44;bump;3;0
44;bumpR;0;0
# Achieved fill rate: 80.957
71;1;1;67.4306
71;1.6;1.6;6.93607
71;2;2;0
71;2.3;2.3;25.6333
71;3;3;0
71;bump;3;0
71;bumpR;0;0
# Achieved fill rate: 80.957
96;1;1;58.1423
96;1.6;1.6;32.3281
96;2;2;0
96;2.3;2.3;2.29192
96;3;3;7.23764
96;bump;3;0
96;bumpR;0;0
# Achieved fill rate: 80.957
21;1;1;64.8372
21;1.6;1.6;3.37756
21;2;2;26.1158
21;2.3;2.3;5.66948
21;3;3;0
21;bump;3;0
21;bumpR;0;0
# Achieved fill rate: 80.957
72;1;1;68.9988
72;1.6;1.6;9.58987
72;2;2;1.14596
72;2.3;2.3;20.2654
72;3;3;0
72;bump;3;0
72;bumpR;0;0
# Achieved fill rate: 80.957
97;1;1;72.497
97;1.6;1.6;0.180941
97;2;2;0
97;2.3;2.3;19.9035
97;3;3;7.41858
97;bump;3;0
97;bumpR;0;0
# Achieved fill rate: 80.957
73;1;1;64.415
73;1.6;1.6;0.301568
73;2;2;35.2835
73;2.3;2.3;0
73;3;3;0
73;bump;3;0
73;bumpR;0;0
# Achieved fill rate: 80.957
45;1;1;67.3112
45;1.6;1.6;8.33837
45;2;2;8.82175
45;2.3;2.3;0
45;3;3;15.5287
45;bump;3;0.181269
45;bumpR;0;0
# Achieved fill rate: 80.8105
22;1;1;66.8878
22;1.6;1.6;0.542823
22;2;2;14.7768
22;2.3;2.3;5.54885
22;3;3;12.2437
22;bump;3;0
22;bumpR;0;0
# Achieved fill rate: 80.957
98;1;1;69.5416
98;1.6;1.6;0
98;2;2;0.180941
98;2.3;2.3;0
98;3;3;30.2774
98;bump;3;0
98;bumpR;0;0
# Achieved fill rate: 80.957
74;1;1;64.0531
74;1.6;1.6;5.12666
74;2;2;5.12666
74;2.3;2.3;25.6936
74;3;3;0
74;bump;3;0
74;bumpR;0;0
# Achieved fill rate: 80.957
23;1;1;71.4113
23;1.6;1.6;0.66345
23;2;2;5.24729
23;2.3;2.3;0
23;3;3;22.6779
23;bump;3;0
23;bumpR;0;0
# Achieved fill rate: 80.957
46;1;1;77.2618
46;1.6;1.6;1.20627
46;2;2;3.61882
46;2.3;2.3;14.7165
46;3;3;3.19662
46;bump;3;0
46;bumpR;0;0
# Achieved fill rate: 80.957
99;1;1;66.5862
99;1.6;1.6;3.37756
99;2;2;0
99;2.3;2.3;30.0362
99;3;3;0
99;bump;3;0
99;bumpR;0;0
# Achieved fill rate: 80.957
24;1;1;73.0839
24;1.6;1.6;0.4828
24;2;2;0
24;2.3;2.3;11.0441
24;3;3;15.3893
24;bump;3;0.06035
24;bumpR;0;0
# Achieved fill rate: 80.9082
47;1;1;54.4961
47;1.6;1.6;33.6753
47;2;2;3.19855
47;2.3;2.3;1.14665
47;3;3;7.4834
47;bump;3;0.06035
47;bumpR;0;0
# Achieved fill rate: 80.9082
48;1;1;58.8164
48;1.6;1.6;33.8768
48;2;2;3.98551
48;2.3;2.3;0
48;3;3;3.32126
48;bump;3;0.120773
48;bumpR;0;0
# Achieved fill rate: 80.8594
49;1;1;65.3197
49;1.6;1.6;4.76478
49;2;2;12.0627
49;2.3;2.3;5.60917
49;3;3;12.2437
49;bump;3;0
49;bumpR;0;0
# Achieved fill rate: 80.957
