run;elementClass;classCost;percentage
25;1;1;100
25;1.6;1.6;0
25;2;2;0
25;2.3;2.3;0
25;3;3;0
25;bump;3;0
25;bumpR;0;0
# Achieved fill rate: 50
75;1;1;100
75;1.6;1.6;0
75;2;2;0
75;2.3;2.3;0
75;3;3;0
75;bump;3;0
75;bumpR;0;0
# Achieved fill rate: 50
0;1;1;100
0;1.6;1.6;0
0;2;2;0
0;2.3;2.3;0
0;3;3;0
0;bump;3;0
0;bumpR;0;0
# Achieved fill rate: 50
76;1;1;100
76;1.6;1.6;0
76;2;2;0
76;2.3;2.3;0
76;3;3;0
76;bump;3;0
76;bumpR;0;0
# Achieved fill rate: 50
26;1;1;100
26;1.6;1.6;0
26;2;2;0
26;2.3;2.3;0
26;3;3;0
26;bump;3;0
26;bumpR;0;0
# Achieved fill rate: 50
1;1;1;100
1;1.6;1.6;0
1;2;2;0
1;2.3;2.3;0
1;3;3;0
1;bump;3;0
1;bumpR;0;0
# Achieved fill rate: 50
77;1;1;100
77;1.6;1.6;0
77;2;2;0
77;2.3;2.3;0
77;3;3;0
77;bump;3;0
77;bumpR;0;0
# Achieved fill rate: 50
2;1;1;100
2;1.6;1.6;0
2;2;2;0
2;2.3;2.3;0
2;3;3;0
2;bump;3;0
2;bumpR;0;0
# Achieved fill rate: 50
50;1;1;99.8047
50;1.6;1.6;0.195312
50;2;2;0
50;2.3;2.3;0
50;3;3;0
50;bump;3;0
50;bumpR;0;0
# Achieved fill rate: 50
27;1;1;95.3125
27;1.6;1.6;4.6875
27;2;2;0
27;2.3;2.3;0
27;3;3;0
27;bump;3;0
27;bumpR;0;0
# Achieved fill rate: 50
78;1;1;90.0391
78;1.6;1.6;9.96094
78;2;2;0
78;2.3;2.3;0
78;3;3;0
78;bump;3;0
78;bumpR;0;0
# Achieved fill rate: 50
28;1;1;100
28;1.6;1.6;0
28;2;2;0
28;2.3;2.3;0
28;3;3;0
28;bump;3;0
28;bumpR;0;0
# Achieved fill rate: 50
3;1;1;93.2617
3;1.6;1.6;6.73828
3;2;2;0
3;2.3;2.3;0
3;3;3;0
3;bump;3;0
3;bumpR;0;0
# Achieved fill rate: 50
51;1;1;91.4062
51;1.6;1.6;8.59375
51;2;2;0
51;2.3;2.3;0
