perc1;perc2;succ;cost
71; 0; 26; 1.58
0; 80; 300; 2.2
41; 0; 295; 2.18
11; 58; 300; 2.2
66; 0; 91; 1.68
26; 28; 300; 2.2
6; 68; 300; 2.2
21; 38; 300; 2.2
56; 0; 228; 1.88
16; 48; 300; 2.2
46; 0; 288; 2.08
31; 18; 300; 2.2
51; 0; 263; 1.98
0; 81; 300; 2.19
71; 1; 23; 1.57
21; 39; 300; 2.19
66; 1; 85; 1.67
56; 1; 227; 1.87
6; 69; 300; 2.19
11; 59; 300; 2.19
41; 1; 297; 2.17
16; 49; 300; 2.19
26; 29; 300; 2.19
31; 19; 300; 2.19
46; 1; 283; 2.07
51; 1; 269; 1.97
61; 1; 166; 1.77
36; 9; 300; 2.19
71; 2; 19; 1.56
0; 82; 300; 2.18
56; 2; 220; 1.86
21; 40; 300; 2.18
66; 2; 88; 1.66
11; 60; 300; 2.18
71; 3; 15; 1.55
6; 70; 300; 2.18
26; 30; 300; 2.18
31; 20; 300; 2.18
16; 50; 300; 2.18
41; 2; 296; 2.16
36; 10; 297; 2.18
0; 83; 300; 2.17
61; 2; 146; 1.76
46; 2; 292; 2.06
51; 2; 272; 1.96
16; 51; 300; 2.17
26; 31; 299; 2.17
21; 41; 300; 2.17
6; 71; 300; 2.17
56; 3; 202; 1.85
71; 4; 17; 1.54
11; 61; 300; 2.17
66; 3; 80; 1.65
31; 21; 298; 2.17
36; 11; 296; 2.17
61; 3; 159; 1.75
0; 84; 300; 2.16
51; 3; 268; 1.95
16; 52; 300; 2.16
41; 3; 294; 2.15
71; 5; 18; 1.53
46; 3; 288; 2.05
21; 42; 300; 2.16
56; 4; 236; 1.84
26; 32; 300; 2.16
6; 72; 300; 2.16
66; 4; 92; 1.64
31; 22; 300; 2.16
11; 62; 300; 2.16
16; 53; 300; 2.15
36; 12; 296; 2.16
0; 85; 300; 2.15
61; 4; 158; 1.74
71; 6; 13; 1.52
41; 4; 292; 2.14
51; 4; 262; 1.94
21; 43; 299; 2.15
66; 5; 67; 1.63
0; 86; 300; 2.14
56; 5; 205; 1.83
26; 33; 300; 2.15
46; 4; 292; 2.04
6; 73; 300; 2.15
11; 63; 300; 2.15
36; 13; 299; 2.15
31; 23; 298; 2.15
16; 54; 300; 2.14
71; 7; 14; 1.51
41; 5; 294; 2.13
21; 44; 300; 2.14
51; 5; 268; 1.93
61; 5; 159; 1.73
46; 5; 290; 2.03
66; 6; 81; 1.62
56; 6; 224; 1.82
6; 74; 300; 2.14
31; 24; 300; 2.14
26; 34; 300; 2.14
36; 14; 300; 2.14
0; 87; 300; 2.13
51; 6; 261; 1.92
11; 64; 300; 2.14
46; 6; 288; 2.02
16; 55; 300; 2.13
71; 8; 7; 1.5
41; 6; 295; 2.12
21; 45; 300; 2.13
66; 7; 62; 1.61
6; 75; 300; 2.13
56; 7; 227; 1.81
61; 6; 158; 1.72
31; 25; 299; 2.13
71; 9; 9; 1.49
26; 35; 300; 2.13
16; 56; 300; 2.12
46; 7; 287; 2.01
11; 65; 300; 2.13
51; 7; 275; 1.91
36; 15; 295; 2.13
0; 88; 300; 2.12
41; 7; 292; 2.11
21; 46; 298; 2.12
66; 8; 64; 1.6
6; 76; 300; 2.12
71; 10; 5; 1.48
56; 8; 222; 1.8
61; 7; 140; 1.71
31; 26; 300; 2.12
26; 36; 300; 2.12
11; 66; 300; 2.12
16; 57; 300; 2.11
36; 16; 298; 2.12
51; 8; 264; 1.9
66; 9; 54; 1.59
46; 8; 292; 2
21; 47; 300; 2.11
6; 77; 300; 2.11
41; 8; 290; 2.1
71; 11; 13; 1.47
0; 89; 300; 2.11
11; 67; 300; 2.11
56; 9; 222; 1.79
26; 37; 300; 2.11
61; 8; 155; 1.7
31; 27; 300; 2.11
66; 10; 67; 1.58
36; 17; 299; 2.11
16; 58; 300; 2.1
21; 48; 299; 2.1
51; 9; 266; 1.89
46; 9; 281; 1.99
72; 0; 20; 1.56
6; 78; 300; 2.1
41; 9; 293; 2.09
0; 90; 300; 2.1
11; 68; 300; 2.1
56; 10; 200; 1.78
26; 38; 300; 2.1
66; 11; 46; 1.57
61; 9; 144; 1.69
31; 28; 298; 2.1
21; 49; 300; 2.09
36; 18; 299; 2.1
16; 59; 300; 2.09
72; 1; 21; 1.55
46; 10; 278; 1.98
51; 10; 271; 1.88
6; 79; 300; 2.09
41; 10; 294; 2.08
11; 69; 300; 2.09
66; 12; 30; 1.56
56; 11; 229; 1.77
26; 39; 300; 2.09
31; 29; 299; 2.09
21; 50; 300; 2.08
0; 91; 300; 2.09
72; 2; 17; 1.54
36; 19; 297; 2.09
61; 10; 150; 1.68
16; 60; 300; 2.08
6; 80; 300; 2.08
46; 11; 284; 1.97
51; 11; 268; 1.87
41; 11; 295; 2.07
66; 13; 39; 1.55
11; 70; 300; 2.08
56; 12; 217; 1.76
26; 40; 299; 2.08
72; 3; 17; 1.53
31; 30; 299; 2.08
21; 51; 300; 2.07
61; 11; 131; 1.67
36; 20; 297; 2.08
16; 61; 300; 2.07
51; 12; 252; 1.86
6; 81; 300; 2.07
46; 12; 288; 1.96
66; 14; 24; 1.54
41; 12; 294; 2.06
0; 92; 300; 2.08
72; 4; 9; 1.52
11; 71; 300; 2.07
26; 41; 299; 2.07
56; 13; 215; 1.75
31; 31; 300; 2.07
21; 52; 300; 2.06
