perc1;perc2;succ;cost
41; 16; 200; 2.02
46; 16; 196; 1.92
6; 85; 200; 2.03
61; 14; 2; 1.64
66; 16; 0; 1.52
11; 75; 200; 2.03
31; 35; 200; 2.03
56; 14; 84; 1.74
0; 97; 200; 2.03
36; 25; 200; 2.03
16; 65; 200; 2.03
72; 6; 0; 1.5
26; 45; 200; 2.03
21; 55; 200; 2.03
51; 15; 180; 1.83
41; 17; 199; 2.01
6; 86; 200; 2.02
46; 17; 195; 1.91
11; 76; 200; 2.02
0; 98; 200; 2.02
66; 17; 0; 1.51
31; 36; 200; 2.02
61; 15; 2; 1.63
16; 66; 200; 2.02
36; 26; 200; 2.02
72; 7; 0; 1.49
21; 56; 200; 2.02
26; 46; 200; 2.02
41; 18; 199; 2
56; 15; 92; 1.73
51; 16; 177; 1.82
6; 87; 200; 2.01
11; 77; 200; 2.01
0; 99; 200; 2.01
31; 37; 200; 2.01
46; 18; 197; 1.9
16; 67; 200; 2.01
66; 18; 0; 1.5
21; 57; 200; 2.01
36; 27; 200; 2.01
72; 8; 0; 1.48
61; 16; 0; 1.62
26; 47; 200; 2.01
41; 19; 200; 1.99
51; 17; 184; 1.81
6; 88; 200; 2
56; 16; 93; 1.72
31; 38; 200; 2
11; 78; 200; 2
0; 100; 200; 2
16; 68; 200; 2
36; 28; 200; 2
21; 58; 200; 2
73; 0; 0; 1.54
46; 19; 200; 1.89
66; 19; 0; 1.49
26; 48; 200; 2
41; 20; 196; 1.98
61; 17; 1; 1.61
6; 89; 200; 1.99
51; 18; 182; 1.8
1; 78; 200; 2.2
31; 39; 200; 1.99
73; 1; 0; 1.53
11; 79; 200; 1.99
21; 59; 200; 1.99
16; 69; 200; 1.99
36; 29; 200; 1.99
56; 17; 76; 1.71
66; 20; 0; 1.48
26; 49; 200; 1.99
46; 20; 200; 1.88
6; 90; 200; 1.98
41; 21; 200; 1.97
1; 79; 200; 2.19
73; 2; 0; 1.52
31; 40; 199; 1.98
11; 80; 200; 1.98
61; 18; 0; 1.6
21; 60; 200; 1.98
16; 70; 200; 1.98
51; 19; 178; 1.79
36; 30; 200; 1.98
26; 50; 200; 1.98
46; 21; 197; 1.87
66; 21; 0; 1.47
1; 80; 200; 2.18
73; 3; 0; 1.51
6; 91; 200; 1.97
41; 22; 199; 1.96
11; 81; 200; 1.97
56; 18; 81; 1.7
31; 41; 200; 1.97
21; 61; 200; 1.97
16; 71; 200; 1.97
36; 31; 200; 1.97
61; 19; 0; 1.59
26; 51; 200; 1.97
1; 81; 200; 2.17
6; 92; 200; 1.96
73; 4; 0; 1.5
66; 22; 0; 1.46
46; 22; 196; 1.86
51; 20; 185; 1.78
11; 82; 200; 1.96
41; 23; 200; 1.95
31; 42; 200; 1.96
21; 62; 200; 1.96
16; 72; 200; 1.96
26; 52; 200; 1.96
36; 32; 200; 1.96
73; 5; 0; 1.49
56; 19; 74; 1.69
1; 82; 200; 2.16
6; 93; 200; 1.95
61; 20; 0; 1.58
11; 83; 200; 1.95
66; 23; 0; 1.45
46; 23; 192; 1.85
41; 24; 198; 1.94
51; 21; 173; 1.77
31; 43; 200; 1.95
21; 63; 200; 1.95
16; 73; 200; 1.95
36; 33; 200; 1.95
74; 0; 0; 1.52
1; 83; 200; 2.15
26; 53; 200; 1.95
6; 94; 200; 1.94
11; 84; 200; 1.94
41; 25; 199; 1.93
46; 24; 198; 1.84
31; 44; 200; 1.94
61; 21; 0; 1.57
56; 20; 71; 1.68
66; 24; 0; 1.44
21; 64; 200; 1.94
16; 74; 200; 1.94
74; 1; 0; 1.51
1; 84; 200; 2.14
36; 34; 200; 1.94
51; 22; 170; 1.76
7; 66; 200; 2.2
26; 54; 200; 1.94
11; 85; 200; 1.93
41; 26; 198; 1.92
21; 65; 200; 1.93
74; 2; 0; 1.5
31; 45; 200; 1.93
46; 25; 194; 1.83
16; 75; 200; 1.93
1; 85; 200; 2.13
7; 67; 200; 2.19
36; 35; 200; 1.93
66; 25; 0; 1.43
61; 22; 0; 1.56
26; 55; 200; 1.93
56; 21; 40; 1.67
51; 23; 169; 1.75
11; 86; 200; 1.92
21; 66; 200; 1.92
75; 0; 0; 1.5
41; 27; 200; 1.91
1; 86; 200; 2.12
7; 68; 200; 2.18
31; 46; 200; 1.92
67; 0; 0; 1.66
36; 36; 200; 1.92
46; 26; 195; 1.82
16; 76; 200; 1.92
26; 56; 200; 1.92
61; 23; 0; 1.55
11; 87; 200; 1.91
41; 28; 198; 1.9
1; 87; 200; 2.11
21; 67; 200; 1.91
7; 69; 200; 2.17
51; 24; 170; 1.74
56; 22; 35; 1.66
31; 47; 200; 1.91
67; 1; 0; 1.65
36; 37; 200; 1.91
16; 77; 200; 1.91
26; 57; 200; 1.91
46; 27; 194; 1.81
11; 88; 200; 1.9
7; 70; 200; 2.16
1; 88; 200; 2.1
21; 68; 200; 1.9
41; 29; 200; 1.89
61; 24; 0; 1.54
67; 2; 0; 1.64
31; 48; 200; 1.9
