perc1;perc2;succ;cost
13; 59; 200; 2.15
62; 11; 2; 1.65
56; 42; 0; 1.46
68; 14; 0; 1.5
17; 78; 200; 1.88
46; 49; 1; 1.59
32; 26; 200; 2.1
41; 55; 6; 1.63
3; 81; 200; 2.13
22; 62; 200; 1.94
8; 81; 200; 2.03
27; 46; 200; 2
36; 64; 4; 1.64
51; 44; 0; 1.54
13; 60; 200; 2.14
68; 15; 0; 1.49
62; 12; 3; 1.64
17; 79; 200; 1.87
32; 27; 200; 2.09
3; 82; 200; 2.12
22; 63; 200; 1.93
8; 82; 200; 2.02
27; 47; 200; 1.99
37; 6; 200; 2.2
13; 61; 200; 2.13
56; 43; 0; 1.45
68; 16; 0; 1.48
46; 50; 0; 1.58
8; 83; 200; 2.01
32; 28; 200; 2.08
3; 83; 200; 2.11
41; 56; 1; 1.62
17; 80; 200; 1.86
27; 48; 200; 1.98
22; 64; 200; 1.92
37; 7; 200; 2.19
13; 62; 200; 2.12
62; 13; 1; 1.63
51; 45; 0; 1.53
8; 84; 200; 2
68; 17; 0; 1.47
3; 84; 200; 2.1
32; 29; 200; 2.07
37; 8; 200; 2.18
17; 81; 200; 1.85
27; 49; 200; 1.97
13; 63; 200; 2.11
22; 65; 200; 1.91
56; 44; 0; 1.44
62; 14; 2; 1.62
46; 51; 0; 1.57
8; 85; 200; 1.99
41; 57; 0; 1.61
3; 85; 200; 2.09
32; 30; 200; 2.06
37; 9; 200; 2.17
68; 18; 0; 1.46
17; 82; 198; 1.84
27; 50; 200; 1.96
13; 64; 200; 2.1
51; 46; 0; 1.52
22; 66; 200; 1.9
8; 86; 200; 1.98
57; 0; 92; 1.86
37; 10; 199; 2.16
62; 15; 0; 1.61
3; 86; 200; 2.08
32; 31; 200; 2.05
13; 65; 200; 2.09
68; 19; 0; 1.45
27; 51; 200; 1.95
17; 83; 200; 1.83
22; 67; 200; 1.89
41; 58; 1; 1.6
46; 52; 0; 1.56
37; 11; 199; 2.15
3; 87; 200; 2.07
8; 87; 200; 1.97
13; 66; 200; 2.08
69; 0; 0; 1.62
32; 32; 200; 2.04
57; 1; 86; 1.85
27; 52; 200; 1.94
62; 16; 0; 1.6
51; 47; 0; 1.51
18; 44; 200; 2.2
22; 68; 200; 1.88
3; 88; 200; 2.06
37; 12; 200; 2.14
8; 88; 200; 1.96
69; 1; 0; 1.61
13; 67; 200; 2.07
27; 53; 200; 1.93
32; 33; 200; 2.03
18; 45; 200; 2.19
41; 59; 0; 1.59
57; 2; 98; 1.84
62; 17; 0; 1.59
46; 53; 0; 1.55
22; 69; 200; 1.87
3; 89; 200; 2.05
37; 13; 200; 2.13
69; 2; 0; 1.6
51; 48; 0; 1.5
8; 89; 200; 1.95
27; 54; 200; 1.92
13; 68; 200; 2.06
18; 46; 200; 2.18
32; 34; 200; 2.02
42; 0; 199; 2.16
3; 90; 200; 2.04
57; 3; 84; 1.83
22; 70; 200; 1.86
62; 18; 0; 1.58
37; 14; 200; 2.12
69; 3; 0; 1.59
8; 90; 200; 1.94
27; 55; 200; 1.91
13; 69; 200; 2.05
42; 1; 200; 2.15
18; 47; 200; 2.17
46; 54; 0; 1.54
32; 35; 200; 2.01
3; 91; 200; 2.03
51; 49; 0; 1.49
22; 71; 200; 1.85
57; 4; 95; 1.82
37; 15; 200; 2.11
69; 4; 0; 1.58
8; 91; 200; 1.93
27; 56; 200; 1.9
62; 19; 0; 1.57
18; 48; 200; 2.16
13; 70; 200; 2.04
42; 2; 200; 2.14
47; 0; 193; 2.06
32; 36; 200; 2
3; 92; 200; 2.02
37; 16; 200; 2.1
52; 0; 172; 1.96
69; 5; 0; 1.57
22; 72; 200; 1.84
57; 5; 87; 1.81
8; 92; 200; 1.92
27; 57; 200; 1.89
18; 49; 200; 2.15
13; 71; 200; 2.03
42; 3; 199; 2.13
47; 1; 195; 2.05
32; 37; 200; 1.99
62; 20; 0; 1.56
3; 93; 200; 2.01
37; 17; 198; 2.09
52; 1; 172; 1.95
69; 6; 0; 1.56
22; 73; 200; 1.83
9; 62; 200; 2.2
18; 50; 200; 2.14
13; 72; 200; 2.02
27; 58; 200; 1.88
57; 6; 100; 1.8
42; 4; 200; 2.12
47; 2; 194; 2.04
32; 38; 200; 1.98
62; 21; 0; 1.55
3; 94; 200; 2
37; 18; 200; 2.08
52; 2; 167; 1.94
69; 7; 0; 1.55
9; 63; 200; 2.19
22; 74; 200; 1.82
18; 51; 200; 2.13
13; 73; 200; 2.01
27; 59; 200; 1.87
42; 5; 197; 2.11
32; 39; 198; 1.97
47; 3; 194; 2.03
57; 7; 91; 1.79
3; 95; 200; 1.99
37; 19; 199; 2.07
69; 8; 0; 1.54
9; 64; 200; 2.18
62; 22; 0; 1.54
52; 3; 175; 1.93
18; 52; 200; 2.12
42; 6; 198; 2.1
22; 75; 199; 1.81
13; 74; 200; 2
27; 60; 199; 1.86
47; 4; 195; 2.02
32; 40; 200; 1.96
57; 8; 78; 1.78
3; 96; 200; 1.98
37; 20; 198; 2.06
69; 9; 0; 1.53
9; 65; 200; 2.17
18; 53; 200; 2.11
52; 4; 165; 1.92
42; 7; 200; 2.09
62; 23; 0; 1.53
13; 75; 200; 1.99
