perc1;perc2;succ;cost
# 2^15
61; 28; 0; 1.5
36; 20; 40; 2.08
67; 12; 0; 1.54
21; 50; 40; 2.08
31; 30; 40; 2.08
41; 12; 40; 2.06
51; 10; 0; 1.88
67; 13; 0; 1.53
56; 19; 0; 1.69
6; 80; 37; 2.08
0; 92; 26; 2.08
11; 70; 40; 2.08
61; 29; 0; 1.49
26; 40; 40; 2.08
16; 60; 40; 2.08
46; 10; 38; 1.98
67; 14; 0; 1.52
56; 20; 0; 1.68
67; 15; 0; 1.51
21; 51; 40; 2.07
61; 30; 0; 1.48
36; 21; 40; 2.07
31; 31; 40; 2.07
41; 13; 40; 2.05
67; 16; 0; 1.5
0; 93; 18; 2.07
6; 81; 32; 2.07
26; 41; 40; 2.07
51; 11; 0; 1.87
61; 31; 0; 1.47
11; 71; 38; 2.07
67; 17; 0; 1.49
56; 21; 0; 1.67
16; 61; 40; 2.07
21; 52; 40; 2.06
46; 11; 36; 1.97
67; 18; 0; 1.48
36; 22; 40; 2.06
31; 32; 40; 2.06
61; 32; 0; 1.46
67; 19; 0; 1.47
56; 22; 0; 1.66
41; 14; 40; 2.04
6; 82; 31; 2.06
67; 20; 0; 1.46
0; 94; 8; 2.06
11; 72; 37; 2.06
26; 42; 40; 2.06
51; 12; 0; 1.86
61; 33; 0; 1.45
16; 62; 40; 2.06
67; 21; 0; 1.45
21; 53; 40; 2.05
56; 23; 0; 1.65
31; 33; 40; 2.05
36; 23; 40; 2.05
67; 22; 0; 1.44
61; 34; 0; 1.44
46; 12; 33; 1.96
0; 95; 2; 2.05
68; 0; 0; 1.64
6; 83; 19; 2.05
41; 15; 40; 2.03
68; 1; 0; 1.63
26; 43; 40; 2.05
16; 63; 40; 2.05
11; 73; 35; 2.05
61; 35; 0; 1.43
56; 24; 0; 1.64
68; 2; 0; 1.62
51; 13; 0; 1.85
21; 54; 38; 2.04
31; 34; 40; 2.04
36; 24; 40; 2.04
68; 3; 0; 1.61
0; 96; 0; 2.04
68; 4; 0; 1.6
61; 36; 0; 1.42
6; 84; 8; 2.04
46; 13; 31; 1.95
68; 5; 0; 1.59
26; 44; 40; 2.04
56; 25; 0; 1.63
41; 16; 40; 2.02
11; 74; 25; 2.04
68; 6; 0; 1.58
16; 64; 37; 2.04
21; 55; 38; 2.03
61; 37; 0; 1.41
51; 14; 0; 1.84
31; 35; 40; 2.03
0; 97; 0; 2.03
36; 25; 40; 2.03
68; 7; 0; 1.57
56; 26; 0; 1.62
68; 8; 0; 1.56
46; 14; 20; 1.94
6; 85; 6; 2.03
26; 45; 39; 2.03
41; 17; 40; 2.01
61; 38; 0; 1.4
68; 9; 0; 1.55
0; 98; 0; 2.02
11; 75; 16; 2.03
16; 65; 33; 2.03
68; 10; 0; 1.54
21; 56; 37; 2.02
36; 26; 40; 2.02
56; 27; 0; 1.61
68; 11; 0; 1.53
31; 36; 40; 2.02
51; 15; 0; 1.83
61; 39; 0; 1.39
6; 86; 0; 2.02
68; 12; 0; 1.52
41; 18; 39; 2
26; 46; 40; 2.02
0; 99; 0; 2.01
62; 0; 0; 1.76
68; 13; 0; 1.51
16; 66; 18; 2.02
11; 76; 7; 2.02
46; 15; 18; 1.93
56; 28; 0; 1.6
62; 1; 0; 1.75
68; 14; 0; 1.5
21; 57; 29; 2.01
31; 37; 38; 2.01
6; 87; 0; 2.01
51; 16; 0; 1.82
36; 27; 40; 2.01
62; 2; 0; 1.74
68; 15; 0; 1.49
0; 100; 0; 2
62; 3; 0; 1.73
26; 47; 34; 2.01
68; 16; 0; 1.48
56; 29; 0; 1.59
16; 67; 15; 2.01
41; 19; 37; 1.99
11; 77; 3; 2.01
62; 4; 0; 1.72
68; 17; 0; 1.47
6; 88; 0; 2
21; 58; 20; 2
46; 16; 17; 1.92
68; 18; 0; 1.46
62; 5; 0; 1.71
31; 38; 37; 2
1; 78; 40; 2.2
51; 17; 0; 1.81
56; 30; 0; 1.58
36; 28; 37; 2
68; 19; 0; 1.45
62; 6; 0; 1.7
26; 48; 33; 2
16; 68; 8; 2
11; 78; 0; 2
69; 0; 0; 1.62
6; 89; 0; 1.99
62; 7; 0; 1.69
21; 59; 15; 1.99
69; 1; 0; 1.61
41; 20; 38; 1.98
62; 8; 0; 1.68
1; 79; 40; 2.19
69; 2; 0; 1.6
31; 39; 38; 1.99
56; 31; 0; 1.57
46; 17; 3; 1.91
51; 18; 0; 1.8
62; 9; 0; 1.67
69; 3; 0; 1.59
11; 79; 0; 1.99
6; 90; 0; 1.98
16; 69; 4; 1.99
36; 29; 40; 1.99
69; 4; 0; 1.58
26; 49; 30; 1.99
62; 10; 0; 1.66
69; 5; 0; 1.57
21; 60; 14; 1.98
1; 80; 40; 2.18
62; 11; 0; 1.65
69; 6; 0; 1.56
56; 32; 0; 1.56
11; 80; 0; 1.98
31; 40; 35; 1.98
41; 21; 39; 1.97
51; 19; 0; 1.79
69; 7; 0; 1.55
6; 91; 0; 1.97
62; 12; 0; 1.64
16; 70; 0; 1.98
69; 8; 0; 1.54
46; 18; 1; 1.9
26; 50; 22; 1.98
62; 13; 0; 1.63
1; 81; 40; 2.17
69; 9; 0; 1.53
36; 30; 39; 1.98
21; 61; 2; 1.97
56; 33; 0; 1.55
11; 81; 0; 1.97
69; 10; 0; 1.52
62; 14; 0; 1.62
31; 41; 26; 1.97
6; 92; 0; 1.96
69; 11; 0; 1.51
51; 20; 0; 1.78
62; 15; 0; 1.61
41; 22; 30; 1.96
69; 12; 0; 1.5
16; 71; 0; 1.97
56; 34; 0; 1.54
1; 82; 40; 2.16
62; 16; 0; 1.6
69; 13; 0; 1.49
11; 82; 0; 1.96
26; 51; 16; 1.97
36; 31; 31; 1.97
46; 19; 0; 1.89
21; 62; 1; 1.96
6; 93; 0; 1.95
69; 14; 0; 1.48
62; 17; 0; 1.59
31; 42; 15; 1.96
69; 15; 0; 1.47
51; 21; 0; 1.77
16; 72; 0; 1.96
62; 18; 0; 1.58
69; 16; 0; 1.46
56; 35; 0; 1.53
1; 83; 40; 2.15
11; 83; 0; 1.95
70; 0; 0; 1.6
6; 94; 0; 1.94
41; 23; 33; 1.95
62; 19; 0; 1.57
36; 32; 29; 1.96
70; 1; 0; 1.59
26; 52; 2; 1.96
21; 63; 0; 1.95
31; 43; 7; 1.95
46; 20; 0; 1.88
62; 20; 0; 1.56
70; 2; 0; 1.58
16; 73; 0; 1.95
56; 36; 0; 1.52
70; 3; 0; 1.57
7; 66; 40; 2.2
51; 22; 0; 1.76
62; 21; 0; 1.55
1; 84; 40; 2.14
11; 84; 0; 1.94
70; 4; 0; 1.56
70; 5; 0; 1.55
41; 24; 24; 1.94
21; 64; 0; 1.94
62; 22; 0; 1.54
16; 74; 0; 1.94
26; 53; 2; 1.95
70; 6; 0; 1.54
36; 33; 21; 1.95
31; 44; 3; 1.94
46; 21; 0; 1.87
70; 7; 0; 1.53
62; 23; 0; 1.53
7; 67; 40; 2.19
56; 37; 0; 1.51
70; 8; 0; 1.52
11; 85; 0; 1.93
1; 85; 40; 2.13
51; 23; 0; 1.75
70; 9; 0; 1.51
62; 24; 0; 1.52
21; 65; 0; 1.93
70; 10; 0; 1.5
16; 75; 0; 1.93
26; 54; 1; 1.94
41; 25; 12; 1.93
62; 25; 0; 1.51
70; 11; 0; 1.49
7; 68; 40; 2.18
31; 45; 1; 1.93
56; 38; 0; 1.5
36; 34; 16; 1.94
70; 12; 0; 1.48
62; 26; 0; 1.5
1; 86; 39; 2.12
46; 22; 0; 1.86
11; 86; 0; 1.92
70; 13; 0; 1.47
21; 66; 0; 1.92
16; 76; 0; 1.92
62; 27; 0; 1.49
51; 24; 0; 1.74
26; 55; 0; 1.93
70; 14; 0; 1.46
7; 69; 40; 2.17
41; 26; 7; 1.92
62; 28; 0; 1.48
56; 39; 0; 1.49
1; 87; 40; 2.11
11; 87; 0; 1.91
31; 46; 0; 1.92
36; 35; 5; 1.93
16; 77; 0; 1.91
46; 23; 0; 1.85
62; 29; 0; 1.47
21; 67; 0; 1.91
51; 25; 0; 1.73
26; 56; 0; 1.92
7; 70; 40; 2.16
62; 30; 0; 1.46
11; 88; 0; 1.9
56; 40; 0; 1.48
1; 88; 39; 2.1
31; 47; 0; 1.91
41; 27; 3; 1.91
62; 31; 0; 1.45
16; 78; 0; 1.9
36; 36; 1; 1.92
21; 68; 0; 1.9
46; 24; 0; 1.84
7; 71; 40; 2.15
26; 57; 0; 1.91
51; 26; 0; 1.72
62; 32; 0; 1.44
56; 41; 0; 1.47
11; 89; 0; 1.89
1; 89; 36; 2.09
31; 48; 0; 1.9
62; 33; 0; 1.43
41; 28; 1; 1.9
16; 79; 0; 1.89
21; 69; 0; 1.89
36; 37; 0; 1.91
7; 72; 40; 2.14
62; 34; 0; 1.42
56; 42; 0; 1.46
46; 25; 0; 1.83
