perc1;perc2;succ;cost
53; 11; 36; 1.83
77; 13; 0; 1.33
45; 11; 40; 1.99
63; 11; 32; 1.63
47; 11; 40; 1.95
57; 11; 37; 1.75
67; 12; 16; 1.54
75; 13; 0; 1.37
69; 12; 5; 1.5
79; 14; 0; 1.28
80; 14; 0; 1.26
73; 13; 0; 1.41
78; 14; 0; 1.3
49; 12; 40; 1.9
61; 12; 35; 1.66
59; 12; 38; 1.7
51; 12; 40; 1.86
55; 12; 39; 1.78
77; 14; 0; 1.32
71; 13; 0; 1.45
47; 12; 40; 1.94
63; 12; 27; 1.62
53; 12; 40; 1.82
65; 12; 23; 1.58
45; 12; 40; 1.98
75; 14; 0; 1.36
67; 13; 16; 1.53
57; 12; 39; 1.74
79; 15; 0; 1.27
80; 15; 0; 1.25
69; 13; 6; 1.49
73; 14; 0; 1.4
78; 15; 0; 1.29
77; 15; 0; 1.31
49; 13; 40; 1.89
71; 14; 1; 1.44
55; 13; 38; 1.77
61; 13; 35; 1.65
51; 13; 40; 1.85
59; 13; 37; 1.69
65; 13; 20; 1.57
47; 13; 40; 1.93
63; 13; 31; 1.61
53; 13; 39; 1.81
80; 16; 0; 1.24
45; 13; 40; 1.97
75; 15; 0; 1.35
67; 14; 16; 1.52
79; 16; 0; 1.26
69; 14; 8; 1.48
57; 13; 39; 1.73
78; 16; 0; 1.28
73; 15; 0; 1.39
77; 16; 0; 1.3
71; 15; 0; 1.43
55; 14; 39; 1.76
49; 14; 40; 1.88
61; 14; 33; 1.64
59; 14; 38; 1.68
65; 14; 23; 1.56
51; 14; 40; 1.84
80; 17; 0; 1.23
63; 14; 31; 1.6
47; 14; 40; 1.92
75; 16; 0; 1.34
53; 14; 39; 1.8
79; 17; 0; 1.25
45; 14; 40; 1.96
69; 15; 5; 1.47
67; 15; 18; 1.51
78; 17; 0; 1.27
73; 16; 0; 1.38
57; 14; 40; 1.72
77; 17; 0; 1.29
71; 16; 1; 1.42
55; 15; 39; 1.75
80; 18; 0; 1.22
79; 18; 0; 1.24
49; 15; 40; 1.87
61; 15; 35; 1.63
51; 15; 39; 1.83
75; 17; 0; 1.33
63; 15; 29; 1.59
47; 15; 40; 1.91
65; 15; 25; 1.55
59; 15; 38; 1.67
78; 18; 0; 1.26
53; 15; 39; 1.79
67; 16; 16; 1.5
69; 16; 5; 1.46
45; 15; 40; 1.95
73; 17; 0; 1.37
57; 15; 37; 1.71
77; 18; 0; 1.28
71; 17; 1; 1.41
80; 19; 0; 1.21
79; 19; 0; 1.23
75; 18; 0; 1.32
55; 16; 40; 1.74
51; 16; 40; 1.82
78; 19; 0; 1.25
61; 16; 36; 1.62
49; 16; 40; 1.86
63; 16; 29; 1.58
65; 16; 20; 1.54
47; 16; 40; 1.9
59; 16; 37; 1.66
67; 17; 13; 1.49
53; 16; 40; 1.78
69; 17; 4; 1.45
45; 16; 40; 1.94
73; 18; 0; 1.36
57; 16; 38; 1.7
77; 19; 0; 1.27
80; 20; 0; 1.2
79; 20; 0; 1.22
71; 18; 0; 1.4
55; 17; 39; 1.73
75; 19; 0; 1.31
78; 20; 0; 1.24
49; 17; 40; 1.85
65; 17; 15; 1.53
63; 17; 27; 1.57
51; 17; 39; 1.81
61; 17; 30; 1.61
59; 17; 38; 1.65
53; 17; 40; 1.77
69; 18; 3; 1.44
47; 17; 40; 1.89
73; 19; 0; 1.35
67; 18; 13; 1.48
45; 17; 40; 1.93
77; 20; 0; 1.26
57; 17; 39; 1.69
79; 21; 0; 1.21
71; 19; 1; 1.39
78; 21; 0; 1.23
75; 20; 0; 1.3
55; 18; 40; 1.72
49; 18; 40; 1.84
61; 18; 32; 1.6
65; 18; 23; 1.52
59; 18; 35; 1.64
53; 18; 40; 1.76
51; 18; 40; 1.8
73; 20; 0; 1.34
63; 18; 27; 1.56
67; 19; 8; 1.47
47; 18; 40; 1.88
69; 19; 2; 1.43
77; 21; 0; 1.25
45; 18; 40; 1.92
57; 18; 39; 1.68
71; 20; 1; 1.38
78; 22; 0; 1.22
75; 21; 0; 1.29
55; 19; 39; 1.71
65; 19; 19; 1.51
73; 21; 0; 1.33
77; 22; 0; 1.24
61; 19; 30; 1.59
47; 19; 40; 1.87
49; 19; 40; 1.83
53; 19; 39; 1.75
69; 20; 3; 1.42
51; 19; 39; 1.79
59; 19; 38; 1.63
67; 20; 14; 1.46
63; 19; 28; 1.55
45; 19; 40; 1.91
71; 21; 0; 1.37
57; 19; 40; 1.67
75; 22; 0; 1.28
55; 20; 39; 1.7
77; 23; 0; 1.23
