run;elementClass;classCost;percentage
64;0;0;1.41271
64;1;1;48.1837
64;1.6;1.6;0
64;2;2;0
64;2.3;2.3;49.4955
64;3;3;0.908174
64;bump;3;3.02725
64;bumpR;0;20.9384
# Achieved fill rate: 96.7773
88;0;0;4.04192
88;1;1;12.3253
88;1.6;1.6;73.7026
88;2;2;0
88;2.3;2.3;0.349301
88;3;3;9.58084
88;bump;3;9.03194
88;bumpR;0;13.5729
# Achieved fill rate: 97.8516
13;0;0;5.77402
13;1;1;9.05923
13;1.6;1.6;75.56
13;2;2;0
13;2.3;2.3;0
13;3;3;9.60677
13;bump;3;10.5027
13;bumpR;0;11.7969
# Achieved fill rate: 98.0957
26;0;0;3.36683
26;1;1;2.46231
26;1.6;1.6;87.0352
26;2;2;0.150754
26;2.3;2.3;0.0502513
26;3;3;6.93467
26;bump;3;10.9045
26;bumpR;0;12.5628
# Achieved fill rate: 97.168
0;0;0;1.77215
0;1;1;45.4684
0;1.6;1.6;32.2532
0;2;2;0
0;2.3;2.3;0.151899
0;3;3;20.3544
0;bump;3;10.9367
0;bumpR;0;13.4684
# Achieved fill rate: 96.4355
65;0;0;5.25526
65;1;1;31.1812
65;1.6;1.6;40.5405
65;2;2;12.4625
65;2.3;2.3;0.3003
65;3;3;10.2603
65;bump;3;10.2102
65;bumpR;0;12.7628
# Achieved fill rate: 97.5586
52;0;0;3.29013
52;1;1;2.49252
52;1.6;1.6;86.0917
52;2;2;0
52;2.3;2.3;0
52;3;3;8.12562
52;bump;3;13.9083
52;bumpR;0;8.57428
# Achieved fill rate: 97.9492
39;0;0;5.29703
39;1;1;5.54455
39;1.6;1.6;77.7723
39;2;2;0.19802
39;2.3;2.3;0
39;3;3;11.1881
39;bump;3;16.1386
39;bumpR;0;5.49505
# Achieved fill rate: 98.6328
76;0;0;2.58835
76;1;1;36.4858
76;1.6;1.6;37.7302
76;2;2;3.68342
76;2.3;2.3;6.86909
76;3;3;12.6431
76;bump;3;15.5301
76;bumpR;0;6.76954
# Achieved fill rate: 98.0957
89;0;0;1.29482
89;1;1;50.5478
89;1.6;1.6;0.747012
89;2;2;0
89;2.3;2.3;42.6793
89;3;3;4.73108
89;bump;3;10.6574
89;bumpR;0;11.7032
# Achieved fill rate: 98.0469
14;0;0;1.001
14;1;1;4.55455
14;1.6;1.6;87.8879
14;2;2;0.0500501
14;2.3;2.3;0.0500501
14;3;3;6.45646
14;bump;3;12.3624
14;bumpR;0;10.6106
# Achieved fill rate: 97.5586
53;0;0;2.39044
53;1;1;43.2769
53;1.6;1.6;11.9522
53;2;2;0.846614
53;2.3;2.3;23.9044
53;3;3;17.6295
53;bump;3;9.81076
53;bumpR;0;12.5498
# Achieved fill rate: 98.0469
27;0;0;1.94223
27;1;1;9.51195
27;1.6;1.6;81.2251
27;2;2;0
27;2.3;2.3;0
27;3;3;7.32072
27;bump;3;13.2968
27;bumpR;0;9.06375
# Achieved fill rate: 98.0469
66;0;0;4.38287
66;1;1;2.56927
66;1.6;1.6;86.4987
66;2;2;0.0503778
66;2.3;2.3;0
66;3;3;6.49874
66;bump;3;11.3854
66;bumpR;0;12.3929
# Achieved fill rate: 96.9238
90;0;0;1.20724
90;1;1;12.6761
90;1.6;1.6;78.8229
90;2;2;0.100604
90;2.3;2.3;0
90;3;3;7.19316
90;bump;3;7.49497
90;bumpR;0;16.0966
# Achieved fill rate: 97.0703
77;0;0;1.44928
77;1;1;20.4398
77;1.6;1.6;68.066
77;2;2;0
77;2.3;2.3;0
77;3;3;10.045
77;bump;3;11.994
77;bumpR;0;10.7946
# Achieved fill rate: 97.7051
1;0;0;0.298507
1;1;1;46.0199
1;1.6;1.6;30.398
1;2;2;0.945274
1;2.3;2.3;0.447761
1;3;3;21.8905
1;bump;3;18.408
1;bumpR;0;3.83085
# Achieved fill rate: 98.1445
40;0;0;2.48262
40;1;1;30.7845
40;1.6;1.6;51.7378
40;2;2;0
40;2.3;2.3;0
40;3;3;14.995
40;bump;3;14.4489
40;bumpR;0;7.54717
# Achieved fill rate: 98.3398
67;0;0;0.400601
67;1;1;53.3801
67;1.6;1.6;6.40961
67;2;2;23.3851
67;2.3;2.3;0.701052
67;3;3;15.7236
67;bump;3;11.317
67;bumpR;0;11.7176
# Achieved fill rate: 97.5098
28;0;0;1.05158
28;1;1;42.9644
28;1.6;1.6;39.9599
28;2;2;0
28;2.3;2.3;0
28;3;3;16.024
28;bump;3;14.5719
28;bumpR;0;8.46269
# Achieved fill rate: 97.5098
2;0;0;2.7204
2;1;1;6.1461
2;1.6;1.6;84.8363
2;2;2;0.100756
2;2.3;2.3;0
2;3;3;6.19647
2;bump;3;8.4131
2;bumpR;0;15.3652
# Achieved fill rate: 96.9238
54;0;0;4.67197
54;1;1;24.9503
54;1.6;1.6;35.9841
54;2;2;25.6461
54;2.3;2.3;0
54;3;3;8.74751
54;bump;3;15.4573
54;bumpR;0;6.66004
# Achieved fill rate: 98.2422
78;0;0;2.48016
78;1;1;16.4683
78;1.6;1.6;0
78;2;2;78.0258
78;2.3;2.3;0
