run;elementClass;classCost;percentage
38;1;1;54.6632
38;1.6;1.6;0
38;2;2;38.2383
38;2.3;2.3;0.103627
38;3;3;6.99482
38;bump;3;3.98964
38;bumpR;0;0
# Achieved fill rate: 94.2383
73;1;1;51.9754
73;1.6;1.6;5.95177
73;2;2;0
73;2.3;2.3;38.9944
73;3;3;3.0785
73;bump;3;2.97589
73;bumpR;0;0
# Achieved fill rate: 95.166
57;1;1;56.4839
57;1.6;1.6;17.7858
57;2;2;0.717581
57;2.3;2.3;0
57;3;3;25.0128
57;bump;3;2.87032
57;bumpR;0;0
# Achieved fill rate: 95.2637
74;1;1;57.2577
74;1.6;1.6;1.75791
74;2;2;0.50226
74;2.3;2.3;5.17328
74;3;3;35.3089
74;bump;3;0.803616
74;bumpR;0;0
# Achieved fill rate: 97.2168
58;1;1;54.1206
58;1.6;1.6;7.28643
58;2;2;4.77387
58;2.3;2.3;0
58;3;3;33.8191
58;bump;3;0.854271
58;bumpR;0;0
# Achieved fill rate: 97.168
39;1;1;55.6171
39;1.6;1.6;13.7028
39;2;2;0
39;2.3;2.3;0.251889
39;3;3;30.4282
39;bump;3;1.10831
39;bumpR;0;0
# Achieved fill rate: 96.9238
7;1;1;63.8703
7;1.6;1.6;0.463201
7;2;2;16.3664
7;2.3;2.3;0
7;3;3;19.3001
7;bump;3;3.29388
7;bumpR;0;0
# Achieved fill rate: 94.873
88;1;1;52.929
88;1.6;1.6;10.5236
88;2;2;24.2613
88;2.3;2.3;0
88;3;3;12.2862
88;bump;3;4.04355
88;bumpR;0;0
# Achieved fill rate: 94.1895
23;1;1;54.4842
23;1.6;1.6;6.63556
23;2;2;15.0337
23;2.3;2.3;14.93
23;3;3;8.91654
23;bump;3;4.04355
23;bumpR;0;0
# Achieved fill rate: 94.1895
59;1;1;55.9816
59;1.6;1.6;9.20245
59;2;2;5.3681
59;2.3;2.3;0
59;3;3;29.4479
59;bump;3;2.60736
59;bumpR;0;0
# Achieved fill rate: 95.5078
75;1;1;61.5067
75;1.6;1.6;1.23839
75;2;2;7.89474
75;2.3;2.3;17.9567
75;3;3;11.4035
75;bump;3;3.56037
75;bumpR;0;0
# Achieved fill rate: 94.6289
40;1;1;55.2361
40;1.6;1.6;13.1417
40;2;2;3.13142
40;2.3;2.3;0
40;3;3;28.4908
40;bump;3;3.02875
40;bumpR;0;0
# Achieved fill rate: 95.1172
89;1;1;54.3134
89;1.6;1.6;12.3532
89;2;2;3.77744
89;2.3;2.3;0
89;3;3;29.5559
89;bump;3;2.45023
89;bumpR;0;0
# Achieved fill rate: 95.6543
8;1;1;55.1724
8;1.6;1.6;17.859
8;2;2;0.669068
8;2.3;2.3;3.70561
8;3;3;22.5939
8;bump;3;3.29388
8;bumpR;0;0
# Achieved fill rate: 94.873
76;1;1;56.3236
76;1.6;1.6;8.44854
76;2;2;1.33129
76;2.3;2.3;19.4572
76;3;3;14.4393
76;bump;3;2.76498
76;bumpR;0;0
# Achieved fill rate: 95.3613
24;1;1;52.6887
24;1.6;1.6;22.8025
24;2;2;0.517063
24;2.3;2.3;0.206825
24;3;3;23.7849
24;bump;3;3.77456
24;bumpR;0;0
# Achieved fill rate: 94.4336
60;1;1;52.1244
60;1.6;1.6;6.37306
60;2;2;27.9275
60;2.3;2.3;0.414508
60;3;3;13.1606
60;bump;3;3.98964
60;bumpR;0;0
# Achieved fill rate: 94.2383
90;1;1;53.3333
90;1.6;1.6;20.5641
90;2;2;0
90;2.3;2.3;0
90;3;3;26.1026
90;bump;3;2.92308
90;bumpR;0;0
# Achieved fill rate: 95.2148
41;1;1;54.1796
41;1.6;1.6;8.66873
41;2;2;4.43756
41;2.3;2.3;27.6574
41;3;3;5.05676
41;bump;3;3.56037
41;bumpR;0;0
# Achieved fill rate: 94.6289
77;1;1;56.6483
77;1.6;1.6;0.501756
77;2;2;7.8274
77;2.3;2.3;0
77;3;3;35.0226
77;bump;3;0.702459
77;bumpR;0;0
# Achieved fill rate: 97.3145
25;1;1;55.5556
25;1.6;1.6;3.3033
25;2;2;1.15115
25;2.3;2.3;0
25;3;3;39.99
25;bump;3;0.45045
25;bumpR;0;0
# Achieved fill rate: 97.5586
9;1;1;56.1558
9;1.6;1.6;19.2727
9;2;2;0
9;2.3;2.3;14.5455
9;3;3;10.026
9;bump;3;4.25974
9;bumpR;0;0
# Achieved fill rate: 93.9941
26;1;1;57.2948
26;1.6;1.6;0.455927
26;2;2;0.759878
26;2.3;2.3;20.4661
26;3;3;21.0233
26;bump;3;1.67173
26;bumpR;0;0
# Achieved fill rate: 96.3867
91;1;1;57.7515
91;1.6;1.6;4.72279
91;2;2;17.5051
91;2.3;2.3;0
91;3;3;20.0205
91;bump;3;3.02875
91;bumpR;0;0
# Achieved fill rate: 95.1172
61;1;1;56.8029
61;1.6;1.6;8.74289
61;2;2;10.5018
61;2.3;2.3;7.60476
61;3;3;16.3476
61;bump;3;3.82825
61;bumpR;0;0
# Achieved fill rate: 94.3848
78;1;1;53.6008
78;1.6;1.6;1.13169
78;2;2;38.9918
78;2.3;2.3;0
78;3;3;6.27572
78;bump;3;3.24074
78;bumpR;0;0
# Achieved fill rate: 94.9219
42;1;1;51.8442
42;1.6;1.6;18.6494
42;2;2;0
42;2.3;2.3;21.1948
42;3;3;8.31169
42;bump;3;4.25974
42;bumpR;0;0
# Achieved fill rate: 93.9941
27;1;1;30.4619
27;1.6;1.6;59.9896
27;2;2;0
27;2.3;2.3;0.155682
27;3;3;9.39284
27;bump;3;4.15153
27;bumpR;0;0
# Achieved fill rate: 94.0918
10;1;1;53.0083
10;1.6;1.6;19.6058
10;2;2;0.726141
10;2.3;2.3;12.8112
10;3;3;13.8485
10;bump;3;4.09751
10;bumpR;0;0
# Achieved fill rate: 94.1406
62;1;1;56.3852
62;1.6;1.6;0
62;2;2;17.5592
62;2.3;2.3;22.6571
62;3;3;3.39856
62;bump;3;3.34706
62;bumpR;0;0
# Achieved fill rate: 94.8242
