perc1;perc2;succ;cost
56; 13; 8; 1.7929
41; 13; 39; 2.0929
74; 0; 0; 1.52
66; 22; 0; 1.5326
31; 31; 40; 2.1723
46; 12; 38; 1.9996
51; 12; 35; 1.8996
36; 21; 40; 2.1393
61; 18; 0; 1.6594
16; 62; 40; 2.2646
74; 1; 0; 1.5133
21; 52; 40; 2.2316
11; 72; 40; 2.2976
0; 95; 40; 2.3635
66; 23; 0; 1.5259
26; 42; 40; 2.1986
41; 14; 40; 2.0862
6; 83; 40; 2.3239
56; 14; 2; 1.7862
74; 2; 0; 1.5066
61; 19; 0; 1.6527
31; 32; 40; 2.1656
46; 13; 38; 1.9929
66; 24; 0; 1.5192
51; 13; 35; 1.8929
36; 22; 40; 2.1326
75; 0; 0; 1.5
16; 63; 40; 2.2579
0; 96; 40; 2.3568
11; 73; 40; 2.2909
21; 53; 40; 2.2249
26; 43; 40; 2.1919
6; 84; 40; 2.3172
66; 25; 0; 1.5125
41; 15; 40; 2.0795
56; 15; 10; 1.7795
61; 20; 0; 1.646
31; 33; 40; 2.1589
46; 14; 39; 1.9862
0; 97; 40; 2.3501
16; 64; 40; 2.2512
67; 0; 0; 1.66
36; 23; 40; 2.1259
51; 14; 33; 1.8862
6; 85; 40; 2.3105
11; 74; 40; 2.2842
21; 54; 40; 2.2182
26; 44; 40; 2.1852
56; 16; 2; 1.7728
61; 21; 0; 1.6393
41; 16; 40; 2.0728
67; 1; 0; 1.6533
0; 98; 40; 2.3434
31; 34; 40; 2.1522
46; 15; 39; 1.9795
16; 65; 40; 2.2445
6; 86; 40; 2.3038
36; 24; 40; 2.1192
21; 55; 40; 2.2115
11; 75; 40; 2.2775
26; 45; 40; 2.1785
67; 2; 0; 1.6466
61; 22; 0; 1.6326
51; 15; 34; 1.8795
56; 17; 2; 1.7661
0; 99; 40; 2.3367
41; 17; 40; 2.0661
31; 35; 40; 2.1455
16; 66; 40; 2.2378
6; 87; 40; 2.2971
46; 16; 38; 1.9728
67; 3; 0; 1.6399
36; 25; 40; 2.1125
21; 56; 40; 2.2048
11; 76; 40; 2.2708
61; 23; 0; 1.6259
26; 46; 40; 2.1718
51; 16; 35; 1.8728
56; 18; 2; 1.7594
0; 100; 40; 2.33
67; 4; 0; 1.6332
16; 67; 40; 2.2311
41; 18; 40; 2.0594
31; 36; 40; 2.1388
6; 88; 40; 2.2904
21; 57; 40; 2.1981
46; 17; 40; 1.9661
11; 77; 40; 2.2641
61; 24; 0; 1.6192
36; 26; 39; 2.1058
67; 5; 0; 1.6265
26; 47; 40; 2.1651
1; 78; 40; 2.4574
56; 19; 0; 1.7527
51; 17; 25; 1.8661
16; 68; 40; 2.2244
67; 6; 0; 1.6198
31; 37; 40; 2.1321
6; 89; 40; 2.2837
41; 19; 40; 2.0527
21; 58; 40; 2.1914
61; 25; 0; 1.6125
11; 78; 40; 2.2574
46; 18; 38; 1.9594
1; 79; 40; 2.4507
36; 27; 40; 2.0991
67; 7; 0; 1.6131
26; 48; 40; 2.1584
56; 20; 1; 1.746
16; 69; 40; 2.2177
6; 90; 40; 2.277
51; 18; 34; 1.8594
61; 26; 0; 1.6058
11; 79; 40; 2.2507
31; 38; 40; 2.1254
21; 59; 40; 2.1847
67; 8; 0; 1.6064
41; 20; 40; 2.046
1; 80; 40; 2.444
46; 19; 40; 1.9527
56; 21; 0; 1.7393
36; 28; 39; 2.0924
26; 49; 40; 2.1517
61; 27; 0; 1.5991
6; 91; 40; 2.2703
16; 70; 40; 2.211
67; 9; 0; 1.5997
11; 80; 40; 2.244
31; 39; 40; 2.1187
21; 60; 40; 2.178
51; 19; 33; 1.8527
41; 21; 40; 2.0393
1; 81; 40; 2.4373
46; 20; 40; 1.946
67; 10; 0; 1.593
26; 50; 40; 2.145
61; 28; 0; 1.5924
56; 22; 0; 1.7326
6; 92; 40; 2.2636
36; 29; 40; 2.0857
16; 71; 40; 2.2043
11; 81; 40; 2.2373
31; 40; 40; 2.112
21; 61; 40; 2.1713
67; 11; 0; 1.5863
51; 20; 34; 1.846
41; 22; 40; 2.0326
1; 82; 40; 2.4306
61; 29; 0; 1.5857
16; 72; 40; 2.1976
46; 21; 40; 1.9393
6; 93; 40; 2.2569
26; 51; 40; 2.1383
67; 12; 0; 1.5796
56; 23; 1; 1.7259
11; 82; 40; 2.2306
36; 30; 40; 2.079
31; 41; 40; 2.1053
21; 62; 40; 2.1646
61; 30; 0; 1.579
67; 13; 0; 1.5729
41; 23; 40; 2.0259
1; 83; 40; 2.4239
6; 94; 40; 2.2502
51; 21; 30; 1.8393
16; 73; 40; 2.1909
26; 52; 40; 2.1316
11; 83; 40; 2.2239
46; 22; 40; 1.9326
56; 24; 0; 1.7192
67; 14; 0; 1.5662
31; 42; 40; 2.0986
61; 31; 0; 1.5723
36; 31; 40; 2.0723
21; 63; 40; 2.1579
7; 66; 40; 2.4178
41; 24; 40; 2.0192
1; 84; 40; 2.4172
16; 74; 40; 2.1842
67; 15; 0; 1.5595
26; 53; 40; 2.1249
11; 84; 40; 2.2172
61; 32; 0; 1.5656
51; 22; 29; 1.8326
46; 23; 39; 1.9259
31; 43; 40; 2.0919
56; 25; 0; 1.7125
67; 16; 0; 1.5528
7; 67; 40; 2.4111
36; 32; 40; 2.0656
21; 64; 40; 2.1512
1; 85; 40; 2.4105
16; 75; 40; 2.1775
41; 25; 40; 2.0125
67; 17; 0; 1.5461
61; 33; 0; 1.5589
26; 54; 40; 2.1182
11; 85; 40; 2.2105
31; 44; 40; 2.0852
46; 24; 40; 1.9192
51; 23; 20; 1.8259
7; 68; 40; 2.4044
56; 26; 0; 1.7058
67; 18; 0; 1.5394
1; 86; 40; 2.4038
21; 65; 40; 2.1445
16; 76; 40; 2.1708
41; 26; 40; 2.0058
61; 34; 0; 1.5522
36; 33; 40; 2.0589
26; 55; 40; 2.1115
31; 45; 40; 2.0785
11; 86; 40; 2.2038
67; 19; 0; 1.5327
46; 25; 38; 1.9125
7; 69; 40; 2.3977
51; 24; 21; 1.8192
56; 27; 0; 1.6991
1; 87; 40; 2.3971
61; 35; 0; 1.5455
16; 77; 40; 2.1641
26; 56; 40; 2.1048
36; 34; 40; 2.0522
