run;elementClass;classCost;percentage
0;0;0;2.34375
0;1;1;97.6562
0;1.6;1.6;0
0;2;2;0
0;2.3;2.3;0
0;3;3;0
0;bump;3;0
0;bumpR;0;0
# Achieved fill rate: 50
25;0;0;5.07812
25;1;1;42.2852
25;1.6;1.6;52.6367
25;2;2;0
25;2.3;2.3;0
25;3;3;0
25;bump;3;0
25;bumpR;0;0
# Achieved fill rate: 50
50;0;0;3.02734
50;1;1;94.4336
50;1.6;1.6;2.53906
50;2;2;0
50;2.3;2.3;0
50;3;3;0
50;bump;3;0
50;bumpR;0;0
# Achieved fill rate: 50
75;0;0;11.2305
75;1;1;31.7383
75;1.6;1.6;2.44141
75;2;2;54.5898
75;2.3;2.3;0
75;3;3;0
75;bump;3;0
75;bumpR;0;0
# Achieved fill rate: 50
1;0;0;5.56641
1;1;1;23.1445
1;1.6;1.6;71.2891
1;2;2;0
1;2.3;2.3;0
1;3;3;0
1;bump;3;0
1;bumpR;0;0
# Achieved fill rate: 50
51;0;0;2.92969
51;1;1;41.6016
51;1.6;1.6;55.4688
51;2;2;0
51;2.3;2.3;0
51;3;3;0
51;bump;3;0
51;bumpR;0;0
# Achieved fill rate: 50
26;0;0;13.6719
26;1;1;14.9414
26;1.6;1.6;68.2617
26;2;2;3.125
26;2.3;2.3;0
26;3;3;0
26;bump;3;0
26;bumpR;0;0
# Achieved fill rate: 50
76;0;0;7.71484
76;1;1;25.293
76;1.6;1.6;66.9922
76;2;2;0
76;2.3;2.3;0
76;3;3;0
76;bump;3;0
76;bumpR;0;0
# Achieved fill rate: 50
2;0;0;5.37109
2;1;1;27.2461
2;1.6;1.6;67.3828
2;2;2;0
2;2.3;2.3;0
2;3;3;0
2;bump;3;0
2;bumpR;0;0
# Achieved fill rate: 50
52;0;0;10.7422
52;1;1;13.8672
52;1.6;1.6;75.3906
52;2;2;0
52;2.3;2.3;0
52;3;3;0
52;bump;3;0
52;bumpR;0;0
# Achieved fill rate: 50
77;0;0;1.46484
