run;elementClass;classCost;percentage
45;bump;3;0.854271
45;bumpR;0;0
# Achieved fill rate: 97.168
93;1;1;54.2424
93;2;2;17.7778
93;3;3;27.9798
93;bump;3;1.36364
93;bumpR;0;0
# Achieved fill rate: 96.6797
6;1;1;55.8928
6;2;2;16.2367
6;3;3;27.8705
6;bump;3;1.51745
6;bumpR;0;0
# Achieved fill rate: 96.5332
57;1;1;56.0061
57;2;2;16.2696
57;3;3;27.7243
57;bump;3;1.72326
57;bumpR;0;0
# Achieved fill rate: 96.3379
32;1;1;55.7518
32;2;2;16.1958
32;3;3;28.0525
32;bump;3;1.26135
32;bumpR;0;0
# Achieved fill rate: 96.7773
69;1;1;55.8363
69;2;2;16.2203
69;3;3;27.9434
69;bump;3;1.41486
69;bumpR;0;0
# Achieved fill rate: 96.6309
18;1;1;53.4212
18;2;2;18.8545
18;3;3;27.7243
18;bump;3;1.72326
18;bumpR;0;0
# Achieved fill rate: 96.3379
82;1;1;55.7237
82;2;2;16.1876
82;3;3;28.0888
82;bump;3;1.21029
82;bumpR;0;0
# Achieved fill rate: 96.8262
94;1;1;55.8081
94;2;2;16.2121
94;3;3;27.9798
94;bump;3;1.36364
94;bumpR;0;0
# Achieved fill rate: 96.6797
58;1;1;55.6956
58;2;2;16.1794
58;3;3;28.125
58;bump;3;1.15927
58;bumpR;0;0
# Achieved fill rate: 96.875
46;1;1;55.1321
46;2;2;17.3272
46;3;3;27.5407
46;bump;3;1.98171
46;bumpR;0;0
# Achieved fill rate: 96.0938
19;1;1;55.6115
19;2;2;16.155
19;3;3;28.2335
19;bump;3;1.00654
19;bumpR;0;0
# Achieved fill rate: 97.0215
7;1;1;55.7518
7;2;2;13.219
7;3;3;31.0293
7;bump;3;1.26135
7;bumpR;0;0
# Achieved fill rate: 96.7773
33;1;1;55.7518
33;2;2;16.1958
33;3;3;28.0525
33;bump;3;1.26135
33;bumpR;0;0
# Achieved fill rate: 96.7773
