run;elementClass;classCost;percentage
20;1;1;51.0655
20;2;2;0.809847
20;3;3;48.1246
20;bump;3;0.0363112
20;bumpR;0;0
# Achieved fill rate: 97.9644
33;1;1;50.1031
33;2;2;7.97147
33;3;3;41.9254
33;bump;3;0.0502391
33;bumpR;0;0
# Achieved fill rate: 97.9507
59;1;1;50.3672
59;2;2;0.364986
59;3;3;49.2678
59;bump;3;0.0161567
59;bumpR;0;0
# Achieved fill rate: 97.9841
72;1;1;51.0995
72;2;2;1.13936
72;3;3;47.7611
72;bump;3;0.026379
72;bumpR;0;0
# Achieved fill rate: 97.9741
92;1;1;48.2605
92;2;2;21.1404
92;3;3;30.5991
92;bump;3;0.252288
92;bumpR;0;0
# Achieved fill rate: 97.7533
78;1;1;50.7161
78;2;2;36.4472
78;3;3;12.8366
78;bump;3;3.20055
78;bumpR;0;0
# Achieved fill rate: 94.9607
6;1;1;50.5736
6;2;2;3.61357
6;3;3;45.8128
6;bump;3;0.0219977
6;bumpR;0;0
# Achieved fill rate: 97.9784
21;1;1;49.9321
21;2;2;6.0163
21;3;3;44.0516
21;bump;3;0.00768838
21;bumpR;0;0
# Achieved fill rate: 97.9924
34;1;1;51.8332
34;2;2;0.681935
34;3;3;47.4849
34;bump;3;0.122766
34;bumpR;0;0
# Achieved fill rate: 97.8798
73;1;1;50.4529
73;2;2;0.121276
73;3;3;49.4258
73;bump;3;0.0188824
73;bumpR;0;0
# Achieved fill rate: 97.9815
93;1;1;50.4125
93;2;2;3.27166
93;3;3;46.3158
93;bump;3;0.00506057
93;bumpR;0;0
# Achieved fill rate: 97.995
60;1;1;51.3308
60;2;2;0.604412
60;3;3;48.0648
60;bump;3;0.096141
60;bumpR;0;0
# Achieved fill rate: 97.9058
22;1;1;50.2046
22;2;2;2.2988
22;3;3;47.4966
22;bump;3;0.0109003
22;bumpR;0;0
# Achieved fill rate: 97.9893
79;1;1;51.0664
79;2;2;2.70528
79;3;3;46.2283
79;bump;3;0.0669967
79;bumpR;0;0
# Achieved fill rate: 97.9343
42;1;1;50.9179
42;2;2;22.7448
42;3;3;26.3373
42;bump;3;0.87564
42;bumpR;0;0
# Achieved fill rate: 97.1493
35;1;1;50.6929
35;2;2;4.30164
35;3;3;45.0055
35;bump;3;0.0199533
35;bumpR;0;0
# Achieved fill rate: 97.9804
74;1;1;50.7156
74;2;2;0.137161
74;3;3;49.1472
74;bump;3;0.033195
74;bumpR;0;0
# Achieved fill rate: 97.9674
61;1;1;51.5996
61;2;2;0.574777
61;3;3;47.8256
61;bump;3;0.0920461
61;bumpR;0;0
# Achieved fill rate: 97.9098
80;1;1;51.0306
80;2;2;1.98476
80;3;3;46.9846
80;bump;3;0.041765
80;bumpR;0;0
# Achieved fill rate: 97.959
23;1;1;50.9308
23;2;2;5.81489
23;3;3;43.2543
23;bump;3;0.0385511
23;bumpR;0;0
# Achieved fill rate: 97.9622
43;1;1;50.6672
43;2;2;0.839804
43;3;3;48.493
43;bump;3;0.0330976
43;bumpR;0;0
# Achieved fill rate: 97.9675
36;1;1;49.8203
36;2;2;9.92667
36;3;3;40.253
36;bump;3;0.0214136
36;bumpR;0;0
# Achieved fill rate: 97.979
75;1;1;50.0211
75;2;2;3.38467
75;3;3;46.5942
75;bump;3;0.00856434
75;bumpR;0;0
# Achieved fill rate: 97.9916
44;1;1;50.1894
44;2;2;2.38031
44;3;3;47.4303
44;bump;3;0.0170328
44;bumpR;0;0
# Achieved fill rate: 97.9833
24;1;1;51.2195
24;2;2;0.69104
24;3;3;48.0894
24;bump;3;0.0444922
24;bumpR;0;0
# Achieved fill rate: 97.9564
81;1;1;50.6732
81;2;2;5.17584
81;3;3;44.151
81;bump;3;0.0266711
81;bumpR;0;0
# Achieved fill rate: 97.9738
37;1;1;50.6478
37;2;2;0.168292
37;3;3;49.1839
37;bump;3;0.0216083
37;bumpR;0;0
# Achieved fill rate: 97.9788
