run;elementClass;classCost;percentage
91;1;1;50.3096
91;1.6;1.6;0.209547
91;2;2;5.15186
91;2.3;2.3;0.14862
91;3;3;44.1804
91;bump;3;0.0145992
91;bumpR;0;0
# Achieved fill rate: 97.9856
30;1;1;51.4847
30;1.6;1.6;1.92287
30;2;2;3.04391
30;2.3;2.3;0.291361
30;3;3;43.2572
30;bump;3;0.0681661
30;bumpR;0;0
# Achieved fill rate: 97.9332
4;1;1;49.5862
4;1.6;1.6;8.79802
4;2;2;4.55917
4;2.3;2.3;0.0510952
4;3;3;37.0055
4;bump;3;0.201553
4;bumpR;0;0
# Achieved fill rate: 97.8028
43;1;1;51.0912
43;1.6;1.6;0.347879
43;2;2;3.29842
43;2.3;2.3;0.120667
43;3;3;45.1418
43;bump;3;0.0787889
43;bumpR;0;0
# Achieved fill rate: 97.9228
81;1;1;51.1153
81;1.6;1.6;0.000486885
81;2;2;0.115879
81;2.3;2.3;2.19001
81;3;3;46.5784
81;bump;3;0.0650479
81;bumpR;0;0
# Achieved fill rate: 97.9362
92;1;1;50.0557
92;1.6;1.6;1.90402
92;2;2;5.59056
92;2.3;2.3;2.93519
92;3;3;39.5145
92;bump;3;0.0502391
92;bumpR;0;0
# Achieved fill rate: 97.9507
56;1;1;49.5593
56;1.6;1.6;1.30028
56;2;2;0.676538
56;2.3;2.3;17.2044
56;3;3;31.2595
56;bump;3;0.102674
56;bumpR;0;0
# Achieved fill rate: 97.8994
68;1;1;51.2644
68;1.6;1.6;2.40015
68;2;2;0.868239
68;2.3;2.3;7.27292
68;3;3;38.1943
68;bump;3;0.101601
68;bumpR;0;0
# Achieved fill rate: 97.9005
82;1;1;50.1342
82;1.6;1.6;2.63253
82;2;2;0.759411
82;2.3;2.3;1.69257
82;3;3;44.7813
82;bump;3;0.0222898
82;bumpR;0;0
# Achieved fill rate: 97.9781
44;1;1;50.5344
44;1.6;1.6;5.11228
44;2;2;1.97666
44;2.3;2.3;1.61492
44;3;3;40.7617
44;bump;3;0.114279
44;bumpR;0;0
# Achieved fill rate: 97.8881
93;1;1;49.6644
93;1.6;1.6;4.225
93;2;2;5.92345
93;2.3;2.3;0.885751
93;3;3;39.3014
93;bump;3;0.0881466
93;bumpR;0;0
# Achieved fill rate: 97.9136
57;1;1;49.568
57;1.6;1.6;7.21053
57;2;2;1.76664
57;2.3;2.3;1.72563
57;3;3;39.7292
57;bump;3;0.0940935
57;bumpR;0;0
# Achieved fill rate: 97.9078
83;1;1;50.4172
83;1.6;1.6;2.15896
83;2;2;0.479445
83;2.3;2.3;0.399538
83;3;3;46.5448
83;bump;3;0.016254
83;bumpR;0;0
# Achieved fill rate: 97.984
31;1;1;49.8452
31;1.6;1.6;9.06269
31;2;2;3.13248
31;2.3;2.3;4.67166
31;3;3;33.2879
31;bump;3;0.37891
31;bumpR;0;0
# Achieved fill rate: 97.63
5;1;1;51.1063
5;1.6;1.6;0.1068
5;2;2;14.5897
5;2.3;2.3;3.42541
5;3;3;30.7717
5;bump;3;0.409708
5;bumpR;0;0
# Achieved fill rate: 97.6001
69;1;1;50.7363
69;1.6;1.6;2.53155
69;2;2;8.5856
69;2.3;2.3;1.78723
69;3;3;36.3593
69;bump;3;0.178207
69;bumpR;0;0
# Achieved fill rate: 97.8256
94;1;1;50.1165
94;1.6;1.6;0.360657
94;2;2;4.08452
94;2.3;2.3;0.767551
94;3;3;44.6708
94;bump;3;0.0302737
94;bumpR;0;0
# Achieved fill rate: 97.9703
6;1;1;50.7393
6;1.6;1.6;0.639718
6;2;2;3.0226
6;2.3;2.3;2.66809
6;3;3;42.9303
6;bump;3;0.0268658
6;bumpR;0;0
# Achieved fill rate: 97.9736
58;1;1;51.6493
58;1.6;1.6;2.4247
58;2;2;0.155
58;2.3;2.3;0.0695163
58;3;3;45.7015
58;bump;3;0.0493624
58;bumpR;0;0
# Achieved fill rate: 97.9516
70;1;1;50.4898
70;1.6;1.6;0.298364
70;2;2;4.3163
70;2.3;2.3;1.89834
70;3;3;42.9972
70;bump;3;0.0327081
70;bumpR;0;0
# Achieved fill rate: 97.9679
84;1;1;50.4744
84;1.6;1.6;3.56266
84;2;2;5.05222
84;2.3;2.3;2.62791
84;3;3;38.2828
84;bump;3;0.1095
84;bumpR;0;0
# Achieved fill rate: 97.8928
16;1;1;50.4062
16;1.6;1.6;14.7516
16;2;2;3.26947
16;2.3;2.3;4.12939
16;3;3;27.4434
16;bump;3;1.33682
16;bumpR;0;0
# Achieved fill rate: 96.7072
32;1;1;50.8345
32;1.6;1.6;0.5287
32;2;2;10.3848
32;2.3;2.3;3.04295
32;3;3;35.2091
32;bump;3;0.164926
32;bumpR;0;0
# Achieved fill rate: 97.8386
7;1;1;51.2449
7;1.6;1.6;2.03587
7;2;2;0.0121693
7;2.3;2.3;0.120038
7;3;3;46.5871
7;bump;3;0.0416676
7;bumpR;0;0
# Achieved fill rate: 97.9591
59;1;1;50.8767
59;1.6;1.6;1.29148
59;2;2;0.796285
59;2.3;2.3;2.29764
59;3;3;44.7379
59;bump;3;0.032416
59;bumpR;0;0
# Achieved fill rate: 97.9682
95;1;1;50.0291
95;1.6;1.6;5.27692
95;2;2;3.61072
95;2.3;2.3;2.76266
95;3;3;38.3206
95;bump;3;0.0994562
95;bumpR;0;0
# Achieved fill rate: 97.9026
17;1;1;51.2397
17;1.6;1.6;0.805502
17;2;2;0.64409
17;2.3;2.3;0.222744
17;3;3;47.088
17;bump;3;0.0406937
17;bumpR;0;0
# Achieved fill rate: 97.9601
33;1;1;50.566
33;1.6;1.6;0.430408
33;2;2;1.79329
33;2.3;2.3;7.29172
33;3;3;39.9186
33;bump;3;0.042739
33;bumpR;0;0
# Achieved fill rate: 97.9581
60;1;1;50.5699
60;1.6;1.6;0.0819792
60;2;2;0.424013
60;2.3;2.3;2.33826
60;3;3;46.5859
60;bump;3;0.0500443
60;bumpR;0;0
# Achieved fill rate: 97.9509
85;1;1;50.0232
85;1.6;1.6;6.1451
85;2;2;4.3983
85;2.3;2.3;3.47157
85;3;3;35.9618
85;bump;3;0.190904
85;bumpR;0;0
# Achieved fill rate: 97.8132
8;1;1;50.1125
8;1.6;1.6;3.56271
8;2;2;6.41097
8;2.3;2.3;1.64803
8;3;3;38.2658
8;bump;3;0.0781066
8;bumpR;0;0
# Achieved fill rate: 97.9235
18;1;1;50.6894
18;1.6;1.6;2.01138
18;2;2;0.751531
18;2.3;2.3;4.15722
18;3;3;42.3904
18;bump;3;0.0486806
18;bumpR;0;0
# Achieved fill rate: 97.9523
96;1;1;48.6235
96;1.6;1.6;9.83894
96;2;2;0.498321
96;2.3;2.3;5.11088
96;3;3;35.9284
96;bump;3;0.151845
96;bumpR;0;0
# Achieved fill rate: 97.8514
34;1;1;50.7596
34;1.6;1.6;0.79937
34;2;2;1.44706
34;2.3;2.3;2.92586
34;3;3;44.0681
34;bump;3;0.0408885
34;bumpR;0;0
# Achieved fill rate: 97.9599
9;1;1;50.5004
9;1.6;1.6;1.43792
9;2;2;0.283614
9;2.3;2.3;2.06978
9;3;3;45.7083
9;bump;3;0.0145992
9;bumpR;0;0
# Achieved fill rate: 97.9856
86;1;1;49.8535
86;1.6;1.6;7.78812
86;2;2;1.16412
86;2.3;2.3;5.23809
86;3;3;35.9561
86;bump;3;0.180257
86;bumpR;0;0
# Achieved fill rate: 97.8236
35;1;1;51.0441
35;1.6;1.6;0.145328
35;2;2;2.3053
35;2.3;2.3;0.0475992
35;3;3;46.4577
35;bump;3;0.0268658
35;bumpR;0;0
# Achieved fill rate: 97.9736
97;1;1;51.0716
97;1.6;1.6;3.93665
97;2;2;2.45399
97;2.3;2.3;0.975323
97;3;3;41.5624
97;bump;3;0.0844423
97;bumpR;0;0
# Achieved fill rate: 97.9173
