perc1;perc2;succ;cost
0; 80; 40; 2.2
65; 0; 0; 1.7
39; 2; 40; 2.2
13; 54; 40; 2.2
26; 28; 40; 2.2
52; 0; 33; 1.96
0; 81; 40; 2.19
65; 1; 0; 1.69
39; 3; 40; 2.19
65; 2; 0; 1.68
0; 82; 40; 2.18
13; 55; 40; 2.19
26; 29; 40; 2.19
52; 1; 29; 1.95
65; 3; 0; 1.67
39; 4; 40; 2.18
0; 83; 40; 2.17
65; 4; 0; 1.66
13; 56; 40; 2.18
52; 2; 28; 1.94
26; 30; 40; 2.18
65; 5; 0; 1.65
0; 84; 40; 2.16
39; 5; 40; 2.17
65; 6; 0; 1.64
52; 3; 31; 1.93
13; 57; 40; 2.17
65; 7; 0; 1.63
26; 31; 40; 2.17
52; 4; 29; 1.92
65; 8; 0; 1.62
0; 85; 40; 2.15
39; 6; 40; 2.16
13; 58; 40; 2.16
65; 9; 0; 1.61
26; 32; 40; 2.16
52; 5; 29; 1.91
65; 10; 0; 1.6
0; 86; 40; 2.14
39; 7; 40; 2.15
65; 11; 0; 1.59
13; 59; 40; 2.15
52; 6; 28; 1.9
26; 33; 40; 2.15
0; 87; 40; 2.13
65; 12; 0; 1.58
39; 8; 40; 2.14
13; 60; 40; 2.14
52; 7; 31; 1.89
65; 13; 0; 1.57
26; 34; 40; 2.14
0; 88; 40; 2.12
39; 9; 39; 2.13
65; 14; 0; 1.56
13; 61; 40; 2.13
65; 15; 0; 1.55
52; 8; 33; 1.88
26; 35; 40; 2.13
39; 10; 40; 2.12
0; 89; 40; 2.11
65; 16; 0; 1.54
13; 62; 40; 2.12
0; 90; 39; 2.1
39; 11; 40; 2.11
26; 36; 40; 2.12
52; 9; 32; 1.87
65; 17; 0; 1.53
0; 91; 40; 2.09
39; 12; 40; 2.1
13; 63; 40; 2.11
65; 18; 0; 1.52
26; 37; 40; 2.11
0; 92; 39; 2.08
52; 10; 28; 1.86
39; 13; 39; 2.09
65; 19; 0; 1.51
13; 64; 40; 2.1
0; 93; 34; 2.07
39; 14; 40; 2.08
65; 20; 0; 1.5
26; 38; 40; 2.1
52; 11; 29; 1.85
0; 94; 35; 2.06
65; 21; 0; 1.49
13; 65; 40; 2.09
39; 15; 40; 2.07
0; 95; 27; 2.05
26; 39; 40; 2.09
65; 22; 0; 1.48
52; 12; 32; 1.84
39; 16; 40; 2.06
0; 96; 26; 2.04
13; 66; 40; 2.08
65; 23; 0; 1.47
26; 40; 40; 2.08
39; 17; 40; 2.05
0; 97; 25; 2.03
52; 13; 24; 1.83
13; 67; 40; 2.07
65; 24; 0; 1.46
39; 18; 40; 2.04
0; 98; 9; 2.02
26; 41; 40; 2.07
13; 68; 40; 2.06
65; 25; 0; 1.45
52; 14; 23; 1.82
39; 19; 40; 2.03
0; 99; 8; 2.01
13; 69; 40; 2.05
65; 26; 0; 1.44
26; 42; 40; 2.06
39; 20; 40; 2.02
65; 27; 0; 1.43
52; 15; 24; 1.81
13; 70; 40; 2.04
0; 100; 2; 2
26; 43; 40; 2.05
65; 28; 0; 1.42
13; 71; 40; 2.03
39; 21; 40; 2.01
52; 16; 21; 1.8
1; 78; 40; 2.2
26; 44; 40; 2.04
66; 0; 0; 1.68
13; 72; 38; 2.02
66; 1; 0; 1.67
39; 22; 40; 2
26; 45; 40; 2.03
1; 79; 40; 2.19
52; 17; 19; 1.79
13; 73; 39; 2.01
